Identifier,Company Name,Country of Exchange,"Price Close
(IDR)
In the last 5 FY",,,,,"Shares - Outstanding - Total
In the last 5 FY",,,,,"Total Assets
(IDR)
In the last 5 FY",,,,,"Total Liabilities
(IDR)
In the last 5 FY",,,,,"ROA - %
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADMG.JK,Polychem Indonesia Tbk PT,Indonesia,109.00,137.00,151.00,202.00,234.00,"3,889,179,559.00","3,889,179,559.00","3,889,179,559.00","3,889,179,559.00","3,889,179,559.00","2,501,153,460,820.00","2,443,427,247,010.00","2,677,182,739,440.00","2,902,272,149,250.00","2,888,928,918,720.00","633,210,445,650.00","503,666,253,085.00","416,171,568,945.00","453,137,274,750.00","537,907,500,000.00",-7.0%,-11.6%,-14.2%,0.2%,-15.1%
ADMR.JK,Adaro Minerals Indonesia Tbk PT,Indonesia,"1,200.00","1,360.00","1,695.00",,,"40,882,331,500.00","40,882,331,500.00","40,882,331,500.00","40,882,331,500.00","40,323,830,000.00","33,364,139,640,130.00","26,100,984,988,320.00","20,026,314,451,660.00","13,761,260,981,250.00","12,007,320,811,200.00","9,192,719,056,270.00","10,120,217,631,295.00","11,165,041,284,100.00","10,833,683,796,000.00","8,368,904,526,840.00",29.6%,37.8%,38.9%,22.2%,-4.5%
ADRO.JK,Alamtri Resources Indonesia Tbk PT,Indonesia,"2,430.00","2,380.00","3,850.00","2,250.00","1,430.00","30,244,918,400.00","30,881,205,900.00","30,985,962,000.00","31,202,734,000.00","31,985,962,000.00","107,837,223,430,000.00","161,227,385,845,000.00","167,826,608,455,000.00","108,113,838,000,000.00","89,597,186,640,000.00","21,420,536,550,000.00","47,169,679,595,000.00","66,228,592,485,000.00","44,582,849,250,000.00","34,115,122,080,000.00",9.1%,7.2%,46.5%,21.3%,3.5%
AEGS.JK,Anugerah Spareparts Sejahtera PT Tbk,Indonesia,31.00,103.00,,,,"1,006,080,721.00","1,006,000,000.00","1,006,000,000.00","1,006,000,000.00",,"75,491,493,227.00","74,037,619,056.00","34,799,905,817.00","34,361,026,548.00",,"6,503,192,640.00","6,095,090,729.00","20,179,273,483.00","20,578,935,291.00",,1.7%,2.2%,2.9%,,
AGAR.JK,Asia Sejahtera Mina Tbk PT,Indonesia,226.00,106.00,278.00,368.00,398.00,"1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","211,705,322,413.00","196,914,899,870.00","199,104,960,001.00","179,189,557,684.00","171,126,264,401.00","101,474,188,187.00","89,949,127,114.00","92,304,803,768.00","70,649,164,525.00","64,580,874,623.00",2.1%,0.0%,-1.0%,1.2%,-0.4%
AGII.JK,Samator Indo Gas Tbk PT,Indonesia,"1,400.00","1,520.00","1,940.00","1,515.00",900.00,"3,066,660,000.00","3,066,660,000.00","3,045,108,100.00","3,043,660,000.00","3,043,660,000.00","8,005,185,000,000.00","7,797,759,000,000.00","7,955,474,000,000.00","8,081,840,000,000.00","7,121,458,000,000.00","4,221,635,000,000.00","4,069,613,000,000.00","4,404,660,000,000.00","4,630,453,000,000.00","3,739,317,000,000.00",1.5%,2.7%,1.7%,3.6%,1.4%
AGRO.JK,Bank Raya Indonesia Tbk PT,Indonesia,232.00,310.00,404.00,"1,810.00","1,012.64","24,717,676,694.00","24,740,494,294.00","24,740,107,814.00","22,746,526,712.00","21,814,483,064.19","13,128,920,167,000.00","12,440,642,239,000.00","13,898,775,065,000.00","16,866,522,655,000.00","28,015,492,262,000.00","9,675,555,640,000.00","9,020,392,264,000.00","10,509,687,783,000.00","14,408,859,476,000.00","23,727,802,051,000.00",0.4%,1.0%,0.8%,-14.7%,0.2%
AGRS.JK,Bank IBK Indonesia Tbk PT,Indonesia,72.00,83.00,90.00,158.83,142.96,"47,864,384,874.00","37,763,045,135.00","27,629,376,781.00","18,442,688,403.25","15,990,214,583.20","20,061,619,000,000.00","19,377,403,000,000.00","18,304,907,000,000.00","14,286,910,000,000.00","9,854,035,000,000.00","14,482,107,000,000.00","14,008,724,000,000.00","14,136,642,000,000.00","11,291,328,000,000.00","7,954,197,000,000.00",1.4%,0.9%,0.6%,0.1%,-2.1%
AHAP.JK,Asuransi Harta Aman Pratama Tbk PT,Indonesia,86.00,93.00,77.00,58.23,55.08,"4,900,000,000.00","4,900,000,000.00","4,900,000,000.00","3,736,084,989.58","3,736,084,989.58","1,071,029,172,856.00","997,499,063,265.00","933,279,448,053.00","666,903,762,608.00","577,744,818,111.00","847,738,126,164.00","781,519,951,544.00","723,212,184,767.00","544,767,542,250.00","472,175,668,361.00",0.6%,0.2%,-0.9%,3.0%,1.8%
AIMS.JK,Artha Mahiya Investama Tbk PT,Indonesia,342.00,860.00,206.00,402.00,148.00,"220,000,000.00","220,000,000.00","220,000,000.00","220,000,000.00","220,000,000.00","3,871,659,038.00","3,886,923,977.00","29,308,843,130.00","23,542,219,524.00","20,782,194,476.00","3,532,762,360.00","2,066,468,834.00","13,728,608,618.00","8,151,909,969.00","8,006,616,589.00",-38.2%,-104.3%,4.0%,10.3%,-4.4%
