Identifier,Company Name,Country of Exchange,"Price Close
(IDR)
In the last 5 FY",,,,,"Shares - Outstanding - Total
In the last 5 FY",,,,,"Total Assets
(IDR)
In the last 5 FY",,,,,"Total Liabilities
(IDR)
In the last 5 FY",,,,,"ROA - %
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL.JK,Trisula Textile Industries Tbk PT,Indonesia,60.00,79.00,148.00,146.00,159.00,"7,219,118,200.00","7,229,235,200.00","7,247,970,000.00","7,250,000,000.00","7,250,000,000.00","583,307,445,777.00","530,041,342,956.00","525,780,962,665.00","524,473,606,697.00","554,235,931,111.00","312,054,879,997.00","264,792,788,668.00","264,346,054,879.00","264,701,036,737.00","297,708,577,146.00",3.2%,3.2%,1.6%,1.6%,-2.5%
BESS.JK,Batulicin Nusantara Maritim Tbk PT,Indonesia,344.00,212.00,170.00,875.00,240.00,"3,440,455,528.00","3,440,455,528.00","3,433,061,158.00","3,412,457,110.00","3,402,436,702.00","662,287,328,271.00","689,803,373,589.00","772,666,449,902.00","667,408,015,354.00","620,407,533,334.00","66,436,633,891.00","117,265,164,483.00","280,314,393,366.00","236,216,688,731.00","303,511,534,873.00",4.5%,11.1%,8.2%,17.9%,8.6%
BEST.JK,Bekasi Fajar Industrial Estate Tbk PT,Indonesia,101.00,137.00,133.00,112.00,180.00,"9,647,311,150.00","9,647,311,150.00","9,647,311,150.00","9,647,311,150.00","9,647,311,150.00","5,827,208,430,098.00","5,940,104,349,120.00","6,078,468,909,026.00","6,046,212,385,412.00","6,282,180,229,732.00","1,401,047,153,697.00","1,572,306,529,495.00","1,749,964,841,755.00","1,752,315,039,995.00","1,925,523,126,081.00",1.2%,0.9%,0.8%,-1.1%,-1.7%
BFIN.JK,BFI Finance Indonesia Tbk PT,Indonesia,945.00,"1,205.00","1,055.00","1,175.00",560.00,"15,039,383,620.00","15,039,383,620.00","15,039,383,620.00","14,964,383,620.00","14,964,383,620.00","25,119,820,000,000.00","23,991,435,000,000.00","21,929,634,000,000.00","15,635,739,000,000.00","15,200,531,000,000.00","14,938,155,000,000.00","14,491,639,000,000.00","13,173,725,000,000.00","8,205,513,000,000.00","8,594,377,000,000.00",7.8%,8.8%,11.9%,9.2%,5.1%
BGTG.JK,Bank Ganesha Tbk PT,Indonesia,76.00,77.00,87.00,233.39,70.78,"23,970,997,103.00","23,970,997,103.00","16,470,997,103.00","11,683,038,514.62","11,683,038,514.62","10,358,250,000,000.00","9,402,309,000,000.00","8,968,132,000,000.00","8,575,950,000,000.00","5,365,456,000,000.00","6,912,969,000,000.00","6,158,107,000,000.00","5,829,370,000,000.00","6,427,061,000,000.00","4,226,331,000,000.00",2.6%,1.4%,0.7%,0.2%,0.1%
BHAT.JK,Bhakti Multi Artha Tbk PT,Indonesia,462.00,585.00,865.00,"1,000.00",620.00,"5,000,000,000.00","5,000,000,000.00","5,000,000,000.00","5,000,000,000.00","5,000,000,000.00","1,131,490,213,441.00","1,114,751,529,283.00","1,038,909,850,191.00","736,066,661,447.00","651,765,765,501.00","582,730,626,202.00","567,319,781,674.00","497,542,929,476.00","196,357,274,613.00","132,240,707,576.00",0.0%,0.3%,0.4%,1.3%,2.2%
BHIT.JK,MNC Asia Holding Tbk PT,Indonesia,34.00,50.00,57.00,56.00,73.77,"83,542,741,759.00","83,542,741,759.00","83,542,741,759.00","83,542,741,759.00","63,736,364,349.49","75,238,125,000,000.00","70,408,946,000,000.00","69,099,804,000,000.00","63,451,383,000,000.00","59,484,422,000,000.00","32,343,474,000,000.00","29,025,687,000,000.00","29,667,556,000,000.00","27,157,783,000,000.00","28,070,486,000,000.00",1.7%,2.0%,5.3%,5.2%,3.7%
BIKA.JK,Binakarya Jaya Abadi Tbk PT,Indonesia,55.00,51.00,101.00,250.00,186.00,"592,280,000.00","592,280,000.00","592,280,000.00","592,280,000.00","592,280,000.00","2,914,613,987,231.00","2,900,520,980,450.00","3,064,221,042,583.00","3,192,672,527,435.00","2,358,913,545,648.00","3,286,402,154,680.00","3,228,587,467,386.00","3,216,992,692,903.00","3,537,619,359,533.00","1,744,747,483,289.00",-1.5%,-6.0%,6.2%,-3.7%,-3.5%
BIKE.JK,Sepeda Bersama Indonesia Tbk PT,Indonesia,484.00,398.00,200.00,,,"1,293,916,404.00","1,293,385,319.00","1,293,351,809.00","1,293,334,000.00","1,293,334,000.00","334,321,511,053.00","257,215,001,550.00","148,576,181,120.00","135,767,632,543.00","56,806,989,827.00","205,720,060,063.00","128,493,910,151.00","28,471,744,897.00","81,591,442,837.00","27,309,051,351.00",6.0%,13.1%,19.3%,32.9%,85.0%
BIMA.JK,Primarindo Asia Infrastructure Tbk PT,Indonesia,87.00,90.00,117.00,246.00,50.00,"608,175,716.00","608,175,716.00","608,175,716.00","608,175,716.00","608,175,716.00","319,791,243,516.00","312,992,165,495.00","310,462,822,260.00","218,663,866,293.00","223,781,482,859.00","254,016,336,336.00","233,246,972,129.00","223,897,211,703.00","209,287,645,606.00","194,321,896,135.00",-5.8%,-1.9%,-0.4%,-11.7%,-17.2%
BINA.JK,Bank Ina Perdana Tbk PT,Indonesia,"4,190.00","4,090.00","3,990.00","3,810.00",690.00,"6,134,716,665.00","6,134,716,665.00","5,937,093,750.00","5,654,375,000.00","5,654,375,000.00","24,436,734,000,000.00","24,384,580,000,000.00","20,552,736,000,000.00","15,055,850,000,000.00","8,437,685,000,000.00","20,823,760,000,000.00","20,828,422,000,000.00","17,264,648,000,000.00","12,682,175,000,000.00","7,220,541,000,000.00",0.4%,1.2%,1.1%,0.4%,0.4%
BINO.JK,Perma Plasindo Tbk PT,Indonesia,165.00,130.00,133.00,147.00,,"2,275,316,111.00","2,175,019,711.00","2,175,014,753.00","2,175,014,753.00","2,175,000,000.00","482,277,518,939.00","543,318,258,444.00","544,212,563,185.00","410,583,120,420.00","366,716,427,353.00","69,259,631,927.00","101,091,384,844.00","106,347,194,748.00","69,723,044,993.00","155,446,160,485.00",-7.9%,1.1%,1.7%,1.3%,0.5%
BIPI.JK,Pt Astrindo Nusantara Infrastruktur Tbk,Indonesia,87.00,105.00,158.00,50.00,50.00,"63,710,196,917.00","57,918,360,917.00","44,693,066,193.00","44,693,066,193.00","44,693,066,193.00","27,054,970,401,800.00","17,592,810,130,060.00","13,584,520,782,000.00","18,865,344,167,280.00","17,399,293,529,160.00","18,221,682,031,025.00","9,246,719,177,465.00","7,805,038,699,500.00","13,451,978,797,920.00","12,354,309,095,280.00",3.0%,2.1%,2.7%,3.0%,3.1%
BIPP.JK,Bhuwanatala Indah Permai Tbk PT,Indonesia,27.00,50.00,51.00,55.00,50.00,"5,028,669,376.00","5,028,669,376.00","5,028,669,376.00","5,028,669,376.00","5,028,669,376.00","1,861,011,197,037.00","1,945,323,867,233.00","1,888,336,506,757.00","2,045,283,188,218.00","2,126,525,330,314.00","837,870,148,178.00","891,896,202,079.00","806,384,409,413.00","942,012,364,746.00","919,581,439,010.00",0.4%,0.2%,1.7%,1.4%,5.1%
BIRD.JK,Blue Bird Tbk PT,Indonesia,"1,610.00","1,790.00","1,410.00","1,380.00","1,300.00","2,502,100,000.00","2,502,100,000.00","2,502,100,000.00","2,502,100,000.00","2,502,100,000.00","8,440,955,000,000.00","7,580,224,000,000.00","6,893,160,000,000.00","6,598,137,000,000.00","7,253,114,000,000.00","2,445,967,000,000.00","1,948,786,000,000.00","1,542,469,000,000.00","1,450,558,000,000.00","2,017,591,000,000.00",9.4%,8.2%,7.2%,0.4%,-4.0%
BISI.JK,BISI International Tbk PT,Indonesia,"1,200.00","1,600.00","1,600.00",995.00,"1,030.00","3,000,000,000.00","3,000,000,000.00","3,000,000,000.00","3,000,000,000.00","3,000,000,000.00","3,634,529,000,000.00","3,901,820,000,000.00","3,410,481,000,000.00","3,132,202,000,000.00","2,914,979,000,000.00","244,074,000,000.00","455,124,000,000.00","360,231,000,000.00","404,157,000,000.00","456,592,000,000.00",6.2%,20.1%,19.7%,15.8%,12.5%
BJBR.JK,Bank Pembangunan Daerah Jawa Barat Dan Banten Tbk PT,Indonesia,910.00,"1,150.00","1,345.00","1,331.33","1,545.74","10,521,443,686.00","10,521,443,686.00","10,521,443,686.00","9,865,918,436.70","9,865,918,436.70","219,960,693,000,000.00","188,295,488,000,000.00","181,241,291,000,000.00","158,356,097,000,000.00","140,934,002,000,000.00","200,321,992,000,000.00","172,846,470,000,000.00","166,495,305,000,000.00","145,272,064,000,000.00","128,928,202,000,000.00",0.9%,1.2%,1.7%,1.7%,1.6%
BJTM.JK,Bank Pembangunan Daerah Jawa Timur Tbk PT,Indonesia,540.00,625.00,710.00,750.00,680.00,"15,015,498,082.00","15,015,498,082.00","15,015,498,082.00","15,015,498,082.00","15,015,498,082.00","118,142,127,000,000.00","103,854,773,000,000.00","103,031,367,000,000.00","100,723,330,000,000.00","83,619,452,000,000.00","103,542,088,000,000.00","91,703,704,000,000.00","91,585,506,000,000.00","89,812,791,000,000.00","73,614,502,000,000.00",1.5%,1.8%,2.0%,2.1%,1.9%
BKDP.JK,Bukit Darmo Property Tbk PT,Indonesia,51.00,51.00,87.00,88.00,51.00,"7,513,992,252.00","7,513,992,252.00","7,513,992,252.00","7,513,992,252.00","7,513,992,252.00","752,245,162,416.00","758,238,599,826.00","756,499,706,863.00","774,139,598,349.00","790,840,175,521.00","406,482,108,034.00","376,331,162,577.00","343,253,957,214.00","327,575,792,987.00","309,509,265,589.00",-4.3%,-4.2%,-3.9%,-4.3%,-3.7%
BKSL.JK,PT Sentul City Tbk,Indonesia,71.00,50.00,48.85,57.64,48.85,"167,708,902,705.00","167,708,902,705.00","68,668,428,409.70","68,668,428,409.70","68,668,428,409.70","21,188,290,505,406.00","19,886,877,883,420.00","16,721,760,263,807.00","16,654,989,338,161.00","18,371,229,973,821.00","6,034,270,819,491.00","4,745,794,622,926.00","6,398,549,423,657.00","6,168,939,794,466.00","8,121,131,006,426.00",0.2%,2.0%,-0.9%,1.7%,-3.0%
BKSW.JK,Bank QNB Indonesia Tbk PT,Indonesia,71.00,81.00,102.00,192.00,106.00,"35,158,048,365.00","35,158,048,365.00","20,436,685,984.00","20,436,685,984.00","20,436,685,984.00","12,852,873,000,000.00","11,753,485,000,000.00","16,717,087,000,000.00","17,701,527,000,000.00","18,297,700,000,000.00","8,104,161,000,000.00","7,062,036,000,000.00","12,063,668,000,000.00","13,674,979,000,000.00","14,185,258,000,000.00",0.7%,0.5%,-2.3%,-8.2%,-1.4%
BLES.JK,Superior Prima Sukses PT Tbk,Indonesia,244.00,,,,,"8,890,206,400.00","8,763,979,000.00","8,763,979,000.00","8,763,979,000.00",,"1,838,051,990,503.00","1,528,735,512,291.00","1,024,105,627,635.00","940,654,344,098.00",,"768,905,727,774.00","776,374,455,758.00","650,197,009,960.00","579,973,053,991.00",,12.1%,15.1%,7.0%,,
BLTA.JK,Berlian Laju Tanker Tbk PT,Indonesia,21.00,50.00,50.00,50.00,50.00,"25,909,159,992.00","25,909,159,992.00","25,909,159,992.00","25,909,159,992.00","25,909,159,992.00","2,431,405,997,850.00","1,612,281,632,925.00","1,209,691,487,675.00","1,002,184,488,000.00","927,666,225,720.00","1,384,032,998,900.00","730,740,193,835.00","587,721,885,740.00","545,172,039,750.00","535,740,299,640.00",3.2%,17.5%,13.2%,2.3%,-1.6%
BLTZ.JK,Graha Layar Prima Tbk PT,Indonesia,"2,000.00","2,110.00","3,190.00","3,370.00","2,990.00","873,937,142.00","873,937,142.00","873,937,142.00","873,937,142.00","873,937,142.00","1,846,276,569,000.00","2,139,420,387,000.00","2,281,446,253,000.00","2,403,109,641,000.00","2,433,294,213,000.00","1,458,634,006,000.00","1,681,347,189,000.00","1,808,486,041,000.00","1,871,329,929,000.00","1,636,938,443,000.00",0.7%,-0.4%,-2.4%,-14.7%,-24.5%
BLUE.JK,Berkah Prima Perkasa Tbk PT,Indonesia,340.00,348.00,292.00,300.00,700.00,"418,000,000.00","418,000,000.00","418,000,000.00","418,000,000.00","418,000,000.00","109,305,353,340.00","103,992,480,787.00","95,882,590,139.00","89,325,700,727.00","92,305,660,771.00","12,863,358,639.00","13,292,487,394.00","8,018,755,151.00","8,746,850,883.00","7,974,519,192.00",19.7%,21.6%,20.2%,16.1%,15.1%
BMAS.JK,Bank Maspion Indonesia Tbk PT,Indonesia,585.00,580.00,657.12,665.90,165.51,"18,102,662,304.00","18,102,662,304.00","14,299,033,578.28","11,544,216,432.58","11,544,216,432.58","22,305,050,012,000.00","19,665,962,966,000.00","14,956,302,274,000.00","14,234,358,584,000.00","10,110,519,691,000.00","15,841,463,159,000.00","12,943,305,449,000.00","11,803,688,126,000.00","12,903,147,645,000.00","8,826,257,598,000.00",-1.5%,0.5%,1.0%,0.8%,1.0%
BMBL.JK,Lavender Bina Cendikia PT Tbk,Indonesia,14.00,25.00,,,,"1,030,080,995.00","1,030,078,165.00","1,030,000,000.00","1,030,000,000.00","1,030,000,000.00","75,277,515,494.00","82,179,935,908.00","37,287,645,207.00","7,588,439,899.00","3,885,456,593.00","5,059,034,695.00","3,112,278,096.00","6,715,121,531.00","4,073,081,172.00","2,499,472,805.00",-14.4%,0.2%,22.1%,47.0%,
BMHS.JK,Bundamedik Tbk PT,Indonesia,246.00,326.00,412.00,830.00,,"8,603,416,176.00","8,603,416,176.00","8,603,416,176.00","8,603,416,176.00","8,541,416,176.00","3,446,360,903,748.00","3,083,162,034,448.00","2,938,610,148,990.00","2,813,696,522,428.00","2,162,536,834,465.00","1,298,625,219,027.00","1,283,126,125,996.00","1,130,377,704,585.00","1,017,480,520,778.00","1,112,837,448,853.00",1.2%,1.3%,6.1%,18.4%,8.1%
BMRI.JK,Bank Mandiri (Persero) Tbk PT,Indonesia,"5,700.00","6,050.00","4,962.50","3,512.50","3,162.50","93,333,333,332.00","93,333,333,332.00","93,333,333,332.00","93,262,533,332.00","93,262,533,332.00","2,427,223,262,000,000.00","2,174,219,449,000,000.00","1,992,544,687,000,000.00","1,725,611,128,000,000.00","1,541,964,567,000,000.00","2,113,748,581,000,000.00","1,886,724,487,000,000.00","1,740,299,232,000,000.00","1,503,499,846,000,000.00","1,337,264,899,000,000.00",3.3%,3.6%,3.0%,2.3%,1.7%
BMSR.JK,Bintang Mitra Semestaraya Tbk PT,Indonesia,318.00,336.00,770.00,262.00,80.00,"1,159,200,024.00","1,159,200,024.00","1,159,200,024.00","1,159,200,024.00","1,159,200,024.00","1,789,756,273,498.00","1,551,246,449,863.00","1,555,132,539,181.00","977,129,726,928.00","706,288,449,539.00","951,321,762,836.00","722,076,066,644.00","873,881,732,905.00","670,462,276,916.00","579,289,214,412.00",0.9%,13.5%,32.2%,28.7%,1.9%
BMTR.JK,Global Mediacom Tbk PT,Indonesia,183.00,268.00,278.00,260.00,290.00,"16,352,512,086.00","16,352,512,086.00","16,352,512,086.00","16,352,512,086.00","16,352,512,086.00","36,243,772,000,000.00","35,268,302,000,000.00","35,912,189,000,000.00","34,108,155,000,000.00","32,261,560,000,000.00","7,164,262,000,000.00","7,618,296,000,000.00","9,263,272,000,000.00","10,230,049,000,000.00","11,477,239,000,000.00",2.9%,3.1%,7.3%,9.2%,7.1%
BNBA.JK,Bank Bumi Arta Tbk PT,Indonesia,600.00,745.00,925.00,"3,240.00",331.86,"3,388,000,000.00","3,388,000,000.00","3,388,000,000.00","2,772,000,000.00","2,631,159,304.74","8,175,925,589,980.00","7,991,554,506,433.00","8,211,291,790,399.00","8,664,310,151,340.00","7,637,524,325,854.00","4,990,819,547,011.00","4,869,599,435,614.00","5,134,517,792,869.00","6,422,689,306,419.00","6,128,138,202,911.00",1.0%,0.7%,0.6%,0.7%,0.7%
BNBR.JK,Bakrie & Brothers Tbk PT,Indonesia,35.00,50.00,78.00,50.00,50.00,"173,416,832,509.00","160,057,457,509.00","22,084,484,209.00","21,160,865,261.00","20,863,053,480.00","6,829,489,000,000.00","7,101,606,000,000.00","17,462,824,000,000.00","15,218,706,000,000.00","13,991,786,000,000.00","2,917,823,000,000.00","4,440,943,000,000.00","15,936,576,000,000.00","13,923,865,000,000.00","12,547,099,000,000.00",5.6%,2.6%,2.2%,0.8%,-6.5%
BNGA.JK,Bank CIMB Niaga Tbk PT,Indonesia,"1,730.00","1,695.00","1,185.00",965.00,995.00,"25,137,965,543.00","25,024,439,161.00","24,933,123,961.00","24,929,713,961.00","24,927,657,094.00","360,220,510,000,000.00","334,369,233,000,000.00","306,754,299,000,000.00","310,786,960,000,000.00","280,943,605,000,000.00","307,024,183,000,000.00","285,031,862,000,000.00","261,478,036,000,000.00","267,398,602,000,000.00","239,890,554,000,000.00",2.5%,2.6%,2.1%,1.8%,1.1%
BNII.JK,Bank Maybank Indonesia Tbk PT,Indonesia,208.00,242.00,228.00,332.00,346.00,"76,215,195,821.00","76,215,195,821.00","76,215,195,821.00","76,215,195,821.00","76,215,195,821.00","197,179,822,000,000.00","171,803,070,000,000.00","160,813,918,000,000.00","168,712,977,000,000.00","173,224,412,000,000.00","165,971,431,000,000.00","141,007,036,000,000.00","131,279,968,000,000.00","139,826,538,000,000.00","146,000,782,000,000.00",0.9%,1.4%,1.2%,1.3%,1.1%
BNLI.JK,Bank Permata Tbk PT,Indonesia,945.00,920.00,"1,015.00","1,535.00","2,639.72","36,181,312,782.00","36,181,312,782.00","36,181,312,782.00","36,181,312,782.00","32,082,577,344.18","259,067,503,000,000.00","257,444,147,000,000.00","255,112,471,000,000.00","234,379,042,000,000.00","197,726,097,000,000.00","216,464,321,000,000.00","217,451,825,000,000.00","217,495,182,000,000.00","197,765,327,000,000.00","162,654,644,000,000.00",1.8%,1.3%,1.1%,0.7%,0.9%
BOAT.JK,Newport Marine Services PT Tbk,Indonesia,195.00,,,,,"3,501,680,000.00","6,498,320,000.00","6,498,320,000.00","6,498,320,000.00",,"583,302,403,200.00","535,285,089,095.00","542,879,323,085.00","509,183,208,750.00",,"197,679,986,190.00","269,802,686,275.00","273,912,901,130.00","260,479,597,500.00",,3.7%,0.5%,0.9%,,
BOBA.JK,Formosa Ingredient Factory Tbk PT,Indonesia,175.00,169.00,184.00,230.00,,"1,155,750,000.00","1,155,750,000.00","1,155,750,000.00","1,155,750,000.00","1,155,750,000.00","183,109,536,269.00","175,625,458,035.00","164,088,907,388.00","147,435,386,311.00","56,543,458,457.00","24,141,988,291.00","24,574,399,638.00","25,732,479,292.00","8,851,215,507.00","20,156,496,760.00",11.4%,11.2%,8.8%,21.9%,56.5%
BOGA.JK,Bintang Oto Global Tbk PT,Indonesia,585.00,"1,185.00","1,295.00","1,390.00","1,380.00","3,803,526,210.00","3,803,526,210.00","3,803,526,210.00","3,803,526,210.00","3,803,526,210.00","808,274,013,538.00","825,275,801,981.00","904,862,041,974.00","813,751,994,176.00","595,139,264,972.00","349,225,238,209.00","338,141,911,779.00","425,265,320,260.00","348,920,970,898.00","157,984,685,515.00",-1.5%,2.4%,2.9%,5.3%,2.7%
BOLA.JK,Bali Bintang Sejahtera Tbk PT,Indonesia,92.00,160.00,224.00,610.00,164.00,"6,000,000,000.00","6,000,000,000.00","6,000,000,000.00","6,000,000,000.00","6,000,000,000.00","794,207,428,584.00","811,094,367,830.00","773,407,973,533.00","763,011,610,843.00","550,063,897,667.00","104,636,703,276.00","83,897,852,904.00","59,083,187,154.00","60,924,887,890.00","79,224,075,465.00",-5.0%,0.2%,4.2%,28.1%,-0.4%
BOLT.JK,Garuda Metalindo Tbk PT,Indonesia,"1,300.00",735.00,745.00,825.00,790.00,"2,343,750,000.00","2,343,750,000.00","2,343,750,000.00","2,343,750,000.00","2,343,750,000.00","1,404,114,374,772.00","1,344,239,544,439.00","1,405,279,687,983.00","1,368,411,097,483.00","1,119,076,870,425.00","516,176,933,443.00","472,546,535,153.00","556,535,398,855.00","550,803,451,910.00","419,042,779,063.00",9.5%,11.1%,5.6%,8.5%,-5.3%
BOSS.JK,Borneo Olah Sarana Sukses Tbk PT,Indonesia,50.00,50.00,89.00,71.00,150.00,"1,400,000,000.00","1,400,000,000.00","1,400,000,000.00","1,400,000,000.00","1,000,000,000.00","699,108,216,872.00","523,526,081,797.00","699,274,548,775.00","871,638,982,195.00","536,867,715,737.00","738,491,466,472.00","601,540,344,656.00","611,899,459,706.00","678,262,661,673.00","345,989,440,969.00",6.2%,-27.0%,-13.5%,0.9%,6.9%
BPFI.JK,Woori Finance Indonesia Tbk PT,Indonesia,318.00,412.00,665.00,960.00,766.67,"2,673,995,362.00","2,673,995,362.00","2,673,995,362.00","2,673,981,992.59","2,673,981,992.59","2,042,939,161,023.00","1,850,404,325,358.00","1,316,472,328,512.00","1,297,609,119,758.00","1,472,642,352,942.00","919,973,840,133.00","791,891,646,490.00","335,938,183,508.00","377,313,272,913.00","613,538,953,451.00",5.5%,6.8%,5.0%,4.3%,3.3%
BPII.JK,Batavia Prosperindo Internasional Tbk PT,Indonesia,580.00,515.00,542.50,330.00,500.00,"9,884,153,240.00","9,884,153,240.00","9,914,013,240.00","10,759,743,240.00","11,244,493,240.00","5,629,420,502,530.00","4,162,291,973,185.00","3,278,744,462,524.00","2,964,069,016,813.00","2,798,907,230,186.00","3,880,781,901,147.00","2,511,824,482,610.00","1,807,058,276,810.00","1,544,782,520,353.00","1,410,822,001,957.00",4.7%,5.0%,4.7%,5.2%,5.6%
BPTR.JK,Batavia Prosperindo Trans Tbk PT,Indonesia,82.00,88.00,117.89,304.18,49.48,"3,534,000,000.00","3,534,000,000.00","2,537,613,987.98","2,537,613,987.98","2,537,613,987.98","2,062,459,713,432.00","1,528,539,670,473.00","1,243,695,808,964.00","816,739,145,113.00","536,303,219,831.00","1,502,666,308,796.00","1,027,609,201,943.00","976,752,484,348.00","572,021,955,910.00","311,837,466,207.00",3.2%,3.4%,2.8%,2.5%,1.2%
BRAM.JK,Indo Kordsa Tbk PT,Indonesia,"5,800.00","6,000.00","8,275.00","12,325.00","5,200.00","450,056,980.00","450,056,980.00","450,000,000.00","450,000,000.00","450,000,000.00","4,710,255,143,400.00","4,601,035,634,890.00","4,527,811,275,790.00","4,132,390,474,500.00","3,702,916,985,040.00","1,073,648,773,450.00","1,121,389,211,745.00","1,064,927,695,370.00","1,142,323,890,000.00","775,266,883,560.00",6.8%,8.4%,15.6%,12.9%,-1.6%
BREN.JK,Barito Renewables Energy PT Tbk,Indonesia,"9,275.00","7,475.00",,,,"133,786,220,000.00","133,786,220,000.00","133,786,220,000.00","133,786,220,000.00","133,786,220,000.00","60,941,084,170,000.00","54,012,295,245,000.00","52,823,282,930,000.00","49,047,103,500,000.00","46,782,655,920,000.00","49,154,628,200,000.00","44,000,341,735,000.00","46,052,476,800,000.00","35,042,460,000,000.00","34,972,895,880,000.00",8.2%,8.4%,9.3%,8.6%,
BRIS.JK,Pt Bank Syariah Indonesia Tbk,Indonesia,"2,730.00","1,740.00","1,290.00","1,736.05","2,194.45","46,129,260,138.00","46,129,260,138.00","47,297,023,651.97","42,170,496,911.75","10,151,140,353.32","408,613,432,000,000.00","353,624,124,000,000.00","305,727,438,000,000.00","265,289,081,000,000.00","239,581,524,000,000.00","363,571,860,000,000.00","314,885,003,000,000.00","272,221,828,000,000.00","240,275,147,000,000.00","217,838,379,000,000.00",2.4%,2.3%,2.0%,1.6%,2.2%
BRMS.JK,Bumi Resources Minerals Tbk PT,Indonesia,346.00,170.00,159.00,116.00,72.39,"141,784,040,338.00","141,784,040,338.00","141,784,040,338.00","129,112,387,720.00","81,412,108,037.60","18,581,839,152,900.00","17,009,438,534,005.00","16,813,846,116,815.00","13,971,325,945,500.00","8,257,532,942,880.00","2,580,871,333,640.00","2,086,275,901,700.00","1,947,441,653,410.00","1,436,620,419,000.00","1,424,213,767,080.00",3.0%,1.6%,3.2%,15.5%,2.3%
BRNA.JK,Berlina Tbk PT,Indonesia,700.00,980.00,"1,070.00","1,190.00","1,200.00","979,110,000.00","979,110,000.00","979,110,000.00","979,110,000.00","979,110,000.00","2,186,369,531,000.00","1,721,496,628,000.00","1,869,959,662,000.00","2,020,640,257,000.00","1,965,718,547,000.00","1,199,691,446,000.00","1,078,808,156,000.00","1,151,060,192,000.00","1,169,605,173,000.00","1,198,995,029,000.00",-3.0%,-5.6%,-8.3%,-10.9%,-9.8%
BRPT.JK,Barito Pacific Tbk PT,Indonesia,920.00,"1,327.88",753.79,850.06,"1,093.64","93,708,446,229.00","94,106,010,227.52","94,106,010,227.52","93,729,208,400.02","93,368,701,628.65","169,468,954,760,000.00","156,254,108,070,000.00","143,949,073,510,000.00","131,692,101,750,000.00","107,961,352,200,000.00","102,084,276,110,000.00","92,950,961,115,000.00","86,017,746,705,000.00","70,817,783,250,000.00","66,440,059,920,000.00",2.3%,2.3%,1.7%,5.7%,3.4%
BRRC.JK,Raja Roti Cemerlang Tbk PT,Indonesia,,,,,,"971,500,000.00","971,500,000.00","971,500,000.00","971,500,000.00",,"57,145,969,361.00","48,601,102,651.00","33,692,183,079.00","20,386,777,316.00",,"37,040,778,122.00","29,673,723,936.00","19,376,931,684.00","7,582,408,133.00",,3.8%,15.5%,17.7%,,
BSBK.JK,PT Wulandari Bangun Laksana Tbk,Indonesia,50.00,51.00,149.00,,,"25,091,882,375.00","25,091,882,375.00","25,091,713,397.00","22,750,000,000.00","22,750,000,000.00","2,866,621,350,778.00","2,494,630,511,563.00","2,521,415,902,502.00","2,265,483,090,256.00","977,744,741,168.00","775,586,606,180.00","808,697,580,121.00","875,086,698,343.00","1,124,657,096,643.00","1,089,538,653,889.00",14.1%,2.6%,1.0%,54.0%,-10.2%
BSDE.JK,Bumi Serpong Damai Tbk PT,Indonesia,945.00,"1,080.00",920.00,"1,010.00","1,225.00","20,913,395,112.00","20,913,395,112.00","20,913,395,112.00","20,913,395,112.00","20,913,395,112.00","76,023,348,886,846.00","66,827,648,486,393.00","64,999,403,480,787.00","61,469,712,165,656.00","60,862,926,586,750.00","28,704,020,732,842.00","25,626,062,282,715.00","26,953,967,352,972.00","25,575,995,151,814.00","26,391,824,110,926.00",7.0%,2.8%,4.3%,2.8%,2.2%
BSIM.JK,Bank Sinarmas Tbk PT,Indonesia,820.00,890.00,845.00,875.00,505.00,"19,716,162,403.00","19,716,162,403.00","19,716,162,403.00","17,461,803,306.00","17,461,803,306.00","55,624,433,000,000.00","52,634,996,000,000.00","47,350,601,000,000.00","52,671,981,000,000.00","44,612,045,000,000.00","47,024,811,000,000.00","44,808,228,000,000.00","40,065,593,000,000.00","45,312,565,000,000.00","38,555,201,000,000.00",0.8%,0.1%,0.6%,0.3%,0.3%
BSML.JK,Bintang Samudera Mandiri Lines Tbk PT,Indonesia,131.00,151.00,346.00,194.00,,"1,850,225,000.00","1,850,225,000.00","1,850,225,000.00","1,850,225,000.00","1,850,225,000.00","247,810,258,358.00","255,201,206,132.00","270,288,041,602.00","248,685,841,255.00","209,752,815,750.00","118,895,453,692.00","131,661,285,020.00","161,690,006,969.00","154,128,325,905.00","158,558,638,796.00",4.5%,7.9%,8.0%,2.2%,0.3%
BSSR.JK,Baramulti Suksessarana Tbk PT,Indonesia,"4,470.00","3,860.00","4,340.00","4,090.00","1,695.00","2,616,500,000.00","2,616,500,000.00","2,616,500,000.00","2,616,500,000.00","2,616,500,000.00","6,164,381,894,250.00","6,288,158,151,335.00","6,301,197,238,875.00","6,203,272,750,500.00","3,697,346,502,720.00","1,915,502,368,140.00","2,555,125,284,635.00","2,869,460,686,565.00","2,603,541,875,250.00","1,024,466,830,920.00",43.4%,54.2%,73.5%,75.6%,15.9%
