Identifier,Company Name,Country of Exchange,"Debt to Equity Ratio (DER)
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020
,,,,,,,
ARKA.JK,Arkha Jayanti Persada Tbk PT,Indonesia, 1.86 , 2.01 , 2.35 , 2.61 , 2.72 
FITT.JK,Hotel Fitra International Tbk PT,Indonesia, 0.20 , 0.74 , 0.69 , 0.67 , 0.91 
PURE.JK,Trinitan Metals and Minerals Tbk PT,Indonesia,,, 30.08 , 5.30 , 1.98 
IRRA.JK,Itama Ranoraya PT,Indonesia, 1.21 , 0.52 , 0.33 , 0.16 ,
DMMX.JK,Digital Mediatama Maxima Tbk PT,Indonesia, 0.01 , 0.04 , 0.04 , 0.06 , 0.11 
UCID.JK,Uni-Charm Indonesia Tbk PT,Indonesia, 0.04 , 0.06 , 0.06 , 0.09 , 0.19 
AMOR.JK,Ashmore Asset Management Indonesia Tbk PT,Indonesia, 0.04 , 0.05 , 0.06 , 0.06 , 0.07 
ENZO.JK,Morenzo Abadi Perkasa Tbk PT,Indonesia, 1.04 , 1.02 , 0.66 , 0.53 , 0.69 
AMAN.JK,Makmur Berkah Amanda Tbk PT,Indonesia, 0.33 , 0.21 , 0.23 , 0.17 , 0.16 
ENAK.JK,Champ Resto Indonesia Tbk PT,Indonesia, 2.12 , 2.16 , 1.32 , 5.52 , 3.17 
TAPG.JK,Triputra Agro Persada Tbk PT,Indonesia, 0.10 , 0.10 , 0.22 , 0.42 , 0.63 
BUKA.JK,Bukalapak.com Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.09 , 0.04 
CMNT.JK,Cemindo Gemilang Tbk PT,Indonesia, 2.80 , 2.40 , 2.74 , 2.46 , 3.47 
SBMA.JK,Surya Biru Murni Acetylene Tbk PT,Indonesia, 0.14 , 0.19 , 0.19 , 0.13 , 0.20 
WMPP.JK,Widodo Makmur Perkasa Tbk PT,Indonesia, 4.03 , 2.19 , 1.38 , 0.61 , 1.34 
NTBK.JK,Nusatama Berkah Tbk PT,Indonesia, 0.09 , 0.12 , 0.11 , 0.50 , 2.23 
SMKM.JK,Sumber Mas Konstruksi Tbk PT,Indonesia,,,,,
WINR.JK,Winner Nusantara Jaya Tbk PT,Indonesia, 0.21 , 0.18 , 0.18 , 0.38 ,
OLIV.JK,Oscar Mitra Sukses Sejahtera Tbk PT,Indonesia, 0.14 , 0.18 , 0.18 , 0.57 , 0.08 
ASHA.JK,Cilacap Samudera Fishing Industry Tbk PT,Indonesia, 0.08 , 0.07 , 0.07 , 0.27 , 0.32 
HILL.JK,PT Hillcon Tbk,Indonesia, 1.64 , 1.27 , 1.38 , 1.48 , 7.99 
RCCC.JK,Utama Radar Cahaya Tbk PT,Indonesia, 1.23 , 0.87 , 0.42 , 0.07 , -   
GULA.JK,Aman Agrindo Tbk PT,Indonesia, 0.47 , 0.47 , 0.32 , 0.43 , 0.32 
AMMS.JK,Agung Menjangan Mas Tbk PT,Indonesia,,,,,
BELI.JK,Global Digital Niaga Tbk PT,Indonesia, 0.23 , 0.25 , 0.05 , 0.55 , 1.81 
KING.JK,Hoffmen Cleanindo PT Tbk,Indonesia, 0.21 , 0.21 , 0.78 , 4.88 ,
PGEO.JK,Pertamina Geothermal Energy PT Tbk,Indonesia, 0.37 , 0.37 , 0.75 , 0.78 , 1.02 
ZATA.JK,Bersama Zatta Jaya Tbk PT,Indonesia, 0.12 , 0.13 , 0.32 , 2.44 , 2.80 
KETR.JK,Ketrosden Triasmitra Tbk PT,Indonesia, 0.29 , 0.73 , 0.68 , 0.87 , 0.54 
PDPP.JK,PT Primadaya Plastisindo Tbk,Indonesia, 0.39 , 0.12 , 0.17 , 0.12 , 0.20 
OMED.JK,Jayamas Medica Industri TBK PT,Indonesia, 0.07 , 0.08 , 0.10 , 0.15 , 0.17 
MKTR.JK,PT Menthobi Karyatama Raya Tbk,Indonesia, 1.28 , 1.15 , 0.65 ,,
CBUT.JK,Citra Borneo Utama Tbk PT,Indonesia, 2.80 , 3.31 , 1.61 , 14.65 ,
KDTN.JK,Puri Sentul Permai Tbk PT,Indonesia, 0.06 , 0.09 , 0.16 , 0.31 , 0.53 
BSBK.JK,PT Wulandari Bangun Laksana Tbk,Indonesia, 0.31 , 0.40 , 0.42 , 0.80 ,
PRAY.JK,Famon Awal Bros Sedaya Tbk PT,Indonesia, 0.46 , 0.44 , 0.33 , 0.49 , 0.39 
COAL.JK,Black Diamond Resources Tbk PT,Indonesia, 0.36 , 0.47 , 0.63 , 0.34 , 1.17 
MEDS.JK,Hetzer Medical Indonesia Tbk PT,Indonesia, 0.09 , 0.12 , 0.15 , 0.35 , 0.01 
CRAB.JK,Toba Surimi Industries Tbk Pt,Indonesia, 0.05 , 0.47 , 0.39 , 1.03 , 1.11 
TOOL.JK,Rohartindo Nusantara Luas Tbk Pt,Indonesia, 0.11 , 0.10 , 0.21 , 0.30 , 1.45 
KLIN.JK,Klinko Karya Imaji PT Tbk,Indonesia, 0.26 , 0.26 , 0.27 , 0.82 , 0.15 
BUAH.JK,Segar Kumala Indonesia Tbk PT,Indonesia, 0.02 , 0.02 , 0.04 , 0.05 , 0.08 
KKES.JK,Kusuma Kemindo Sentosa Tbk PT,Indonesia, 0.11 , 0.17 , 0.04 , 0.99 , 3.23 
ELPI.JK,Pelayaran Nasional Ekalya Purnamasari Tbk PT,Indonesia, 0.13 , 0.17 , 0.05 , 0.11 , 0.14 
EURO.JK,Estee Gold Feet PT Tbk,Indonesia,,,,,
RAFI.JK,Sari Kreasi Boga PT Tbk,Indonesia, 0.20 , 0.14 , 0.01 , 0.23 , 0.19 
JARR.JK,Jhonlin Agro Raya PT Tbk,Indonesia, 1.09 , 1.34 , 1.14 , 1.65 , 24.06 
HATM.JK,Habco Trans Maritima Tbk PT,Indonesia, 0.35 , 0.14 , -   , 0.12 , -   
KRYA.JK,Bangun Karya Perkasa Jaya PT Tbk,Indonesia, 0.24 , 0.46 , 0.25 , 0.76 , 1.11 
AXIO.JK,Tera Data Indonusa Tbk PT,Indonesia, 0.27 , 0.15 , 0.43 , 0.60 , 0.82 
DEWI.JK,PT Dewi SHRI Farmindo Tbk,Indonesia, 0.13 , 0.15 , 0.09 , 0.14 , -   
TRGU.JK,Cerestar Indonesia Tbk PT,Indonesia, 1.80 , 1.75 , 1.60 , 1.41 , 1.87 
ARKO.JK,Arkora Hydro Tbk PT,Indonesia, 1.60 , 1.21 , 1.13 , 2.51 , 3.36 
CHEM.JK,Chemstar Indonesia Tbk PT,Indonesia, 0.24 , 0.18 , 0.08 , 0.72 , 0.96 
SWID.JK,Saraswanti Indoland Development Tbk PT,Indonesia, 0.66 , 0.29 , 0.28 , 0.68 , 0.93 
IBOS.JK,Indo Boga Sukses Tbk PT,Indonesia, 0.06 , 0.07 , 0.06 , 0.12 , 0.03 
MTMH.JK,Murni Sadar Tbk PT,Indonesia, 0.46 , 0.43 , 0.32 , 0.50 , 12.66 
TLDN.JK,Teladan Prima Agro Tbk PT,Indonesia, 0.33 , 0.61 , 0.84 , 1.51 , 2.46 
SICO.JK,Sigma Energy Compressindo Tbk PT,Indonesia, 0.14 , 0.12 , 0.17 , 0.32 , 0.65 
WIRG.JK,Wir Asia Tbk PT,Indonesia, 0.17 , 0.08 , 0.06 , 0.05 , 0.09 
BIKE.JK,Sepeda Bersama Indonesia Tbk PT,Indonesia, 0.02 , 0.09 , 0.08 , 0.26 , 0.10 
STAA.JK,Sumber Tani Agung Resources Tbk PT,Indonesia, 0.26 , 0.30 , 0.38 , 0.69 , 1.16 
NANO.JK,Nanotech Indonesia Global Tbk PT,Indonesia, 0.12 , 0.07 , 0.06 , 0.03 , 0.11 
BAUT.JK,Mitra Angkasa Sejahtera Tbk PT,Indonesia, 0.12 , 0.12 , 0.09 , 0.29 , 1.25 
ASLC.JK,Autopedia Sukses Lestari Tbk PT,Indonesia, 0.02 , 0.02 , 0.01 , 0.31 , 0.06 
SEMA.JK,Semacom Integrated Tbk PT,Indonesia, 0.40 , 0.33 , 0.25 , 0.51 , 0.95 
ADMR.JK,PT Alamtri Minerals Indonesia Tbk,Indonesia, 0.20 , 0.41 , 0.86 , 3.09 , 1.93 
DRMA.JK,Dharma Polimetal Tbk PT,Indonesia, 0.19 , 0.25 , 0.37 , 0.58 , 1.06 
BSML.JK,Bintang Samudera Mandiri Lines Tbk PT,Indonesia, 0.70 , 0.86 , 1.07 , 1.44 , 2.84 
NASI.JK,Wahana Inti Makmur Tbk PT,Indonesia, 0.35 , 0.19 , 0.12 , 0.08 , 0.23 
OBMD.JK,Obm Drilchem Tbk PT,Indonesia, 0.05 , 0.05 , 0.04 , 0.06 , 0.17 
IPPE.JK,Indo Pureco Pratama Tbk PT,Indonesia, 0.03 ,,,,
RMKE.JK,RMK Energy PT Tbk,Indonesia, 0.26 , 0.34 , 0.18 , 0.53 , 0.87 
TAYS.JK,Jaya Swarasa Agung Tbk PT,Indonesia, 3.56 , 1.41 , 1.24 , 1.16 , 6.48 
WGSH.JK,Wira Global Solusi Tbk PT,Indonesia, 0.06 , 0.01 , 0.00 , 0.01 , -   
CMRY.JK,Cisarua Mountain Dairy Tbk PT,Indonesia, 0.00 , -   , 0.01 , 0.01 , 0.07 
ADCP.JK,Adhi Commuter Properti Tbk PT,Indonesia, 0.47 , 0.46 , 0.32 , 0.44 , 0.23 
DEPO.JK,Caturkarda Depo Bangunan Tbk PT,Indonesia, 0.22 , 0.16 , 0.05 , 0.05 , 0.10 
BINO.JK,Perma Plasindo Tbk PT,Indonesia, 0.07 , 0.12 , 0.12 , 0.08 , 0.12 
MTEL.JK,PT Dayamitra Telekomunikasi Tbk,Indonesia, 0.61 , 0.54 , 0.52 , 0.59 , 1.65 
BOBA.JK,Formosa Ingredient Factory Tbk PT,Indonesia, 0.00 , 0.00 , 0.01 , 0.00 , 0.01 
KUAS.JK,Ace Oldfields Tbk,Indonesia, 0.55 , 0.56 , 0.67 , 0.71 , 2.61 
RUNS.JK,Global Sukses Solusi Tbk PT,Indonesia, 0.21 , 0.27 , 0.12 , -   , 0.00 
GTSI.JK,Gts Internasional Tbk PT,Indonesia, 0.36 , 0.39 , 0.46 , 1.17 , 0.82 
RSGK.JK,Kedoya Adyaraya Tbk PT,Indonesia,,, 0.00 , 0.04 , 0.32 
IDEA.JK,IDeA Indonesia Akademi Tbk PT,Indonesia, 0.20 , 0.23 , 0.27 , 0.31 , -   
MCOL.JK,Prima Andalan Mandiri Tbk PT,Indonesia, 0.15 , 0.12 , 0.13 , 0.14 , 0.58 
OILS.JK,Indo Oil Perkasa Tbk PT,Indonesia, 1.03 , 1.09 , 0.64 , 0.51 , 1.27 
GPSO.JK,Geoprima Solusi Tbk PT,Indonesia,,,, -   , 0.00 
HAIS.JK,Hasnur Internasional Shipping Tbk PT,Indonesia, 0.38 , 0.23 , 0.04 , 0.06 , 0.17 
UVCR.JK,Trimegah Karya Pratama Tbk PT,Indonesia, 0.53 , 0.04 , 0.04 , 0.05 , 0.16 
FLMC.JK,Falmaco Nonwoven Industri Tbk PT,Indonesia, 0.08 , 0.03 , 0.07 , 0.57 , 1.56 
NICL.JK,PAM Mineral Tbk PT,Indonesia, 0.00 , 0.01 , 0.00 , 0.01 , 0.00 
BMHS.JK,Bundamedik Tbk PT,Indonesia, 0.54 , 0.62 , 0.52 , 0.37 , 0.77 
MASB.JK,Bank Multiarta Sentosa Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 , 0.01 
IPAC.JK,ERA Graharealty Tbk PT,Indonesia,,,, 0.01 , 0.05 
ARCI.JK,Archi Indonesia Tbk PT,Indonesia, 1.48 , 1.54 , 1.26 , 1.31 , 4.21 
LABA.JK,Green Power Group Tbk PT,Indonesia, 0.20 , 0.05 , 0.06 , 0.07 , 0.73 
TRUE.JK,Triniti Dinamik Tbk PT,Indonesia, 1.15 , 0.95 , 1.01 , 1.12 , 2.47 
MGLV.JK,Panca Anugrah Wisesa Tbk PT,Indonesia, 0.01 , 0.26 , 0.41 , 0.55 , 0.54 
HOPE.JK,Harapan Duta Pertiwi Tbk PT,Indonesia, 0.69 , 0.48 , 0.31 , 0.29 , 1.25 
LUCY.JK,Lima Dua Lima Tiga PT Tbk,Indonesia, 0.57 , 0.80 , 0.45 , 0.25 , 0.82 
FIMP.JK,Fimperkasa Utama Tbk PT,Indonesia, -   , 0.01 , 0.08 , 0.04 , 0.55 
NPGF.JK,Nusa Palapa Gemilang Tbk PT,Indonesia, 0.31 , 0.12 , 0.92 , 0.66 , 1.04 
LFLO.JK,Imago Mulia Persada Tbk PT,Indonesia, 0.25 , 0.02 , 0.00 , 0.01 , 0.04 
SNLK.JK,Sunter Lakeside Hotel Tbk PT,Indonesia, 0.18 , 0.19 , 0.27 , 0.25 , 0.29 
ZYRX.JK,Zyrexindo Mandiri Buana PT Tbk,Indonesia, 0.16 , 0.43 , 0.58 , 0.20 , 0.66 
BEBS.JK,Berkah Beton Sadaya Tbk PT,Indonesia,,, 0.00 , 0.03 , 0.79 
UNIQ.JK,Ulima Nitra Tbk PT,Indonesia, 0.47 , 0.68 , 0.42 , 0.36 , 0.75 
EDGE.JK,Indointernet Tbk PT,Indonesia, 0.66 , 0.37 , 0.04 , 0.01 , 0.00 
UFOE.JK,Damai Sejahtera Abadi Tbk PT,Indonesia, 0.45 , 0.44 , 0.48 , 0.78 , 0.72 
BANK.JK,Bank Aladin Syariah Tbk PT,Indonesia, 0.20 , 0.01 , 0.23 , 0.03 ,
WMUU.JK,Widodo Makmur Unggas Tbk PT,Indonesia, 1.52 , 1.30 , 1.07 , 0.70 , 0.93 
DGNS.JK,Diagnos Laboratorium Utama PT Tbk,Indonesia, 0.40 , 0.32 , 0.10 , 0.07 , 0.03 
DCII.JK,DCI Indonesia Tbk PT,Indonesia, 0.35 , 0.51 , 0.82 , 1.14 , 1.95 
WIFI.JK,Solusi Sinergi Digital Tbk PT,Indonesia, 1.37 , 0.82 , 1.08 , 0.68 , 0.21 
FAPA.JK,FAP Agri Tbk PT,Indonesia, 0.91 , 0.80 , 0.90 , 1.27 , 1.63 
PMMP.JK,Panca Mitra Multiperdana Tbk PT,Indonesia, 2.35 , 2.20 , 2.21 , 2.41 , 3.63 
VICI.JK,Victoria Care Indonesia Tbk PT,Indonesia, 0.13 , 0.08 , 0.18 , 0.19 , 0.36 
ATAP.JK,Trimitra Prawara Goldland Tbk PT,Indonesia, 0.33 , 0.37 , 0.37 , 0.13 , 0.24 
PTDU.JK,Djasa Ubersakti Tbk PT,Indonesia,, 3.17 , 1.92 , 1.63 , 0.80 
PLAN.JK,Planet Properindo Jaya Tbk PT,Indonesia, 0.40 , 0.37 , 0.37 , 0.35 , 0.35 
ROCK.JK,Rockfields Properti Indonesia Tbk PT,Indonesia, 0.11 , 0.13 , 0.09 , 0.11 , 0.14 
HOMI.JK,Grand House Mulia Tbk PT,Indonesia, 0.15 , 0.12 , 0.25 , 0.28 , 0.39 
KMDS.JK,Kurniamitra Duta Sentosa Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 , 0.01 
SOHO.JK,Soho Global Health Tbk PT,Indonesia, 0.01 , 0.01 , 0.01 , 0.01 , 0.01 
SCNP.JK,Selaras Citra Nusantara Perkasa Tbk PT,Indonesia, -   ,, -   , 0.00 , 0.03 
BBSI.JK,Krom Bank Indonesia Tbk PT,Indonesia, 0.00 ,,,,
PURI.JK,Puri Global Sukses Tbk PT,Indonesia, 1.03 , 0.44 , 0.35 , 0.18 , 0.17 
PNGO.JK,Pinago Utama TBK PT,Indonesia, 0.63 , 0.69 , 0.98 , 1.13 , 1.43 
TRJA.JK,Transkon Jaya Tbk PT,Indonesia, 1.04 , 1.62 , 1.29 , 0.86 , 1.01 
SGER.JK,Sumber Global Energy Tbk PT,Indonesia, 0.56 , 0.51 , 0.31 , 0.39 , 0.69 
TOYS.JK,Sunindo Adipersada Tbk PT,Indonesia, 0.41 , 0.37 , 0.38 , 0.36 , 0.95 
PPGL.JK,Prima Globalindo Logistik Tbk PT,Indonesia, 0.47 , 0.17 , 0.12 , 0.11 , 0.22 
PGUN.JK,Pradiksi Gunatama Tbk PT,Indonesia, 0.27 , 0.35 , 0.48 , 0.63 , 1.17 
UANG.JK,Pakuan Tbk PT,Indonesia, 1.35 , 1.63 ,, 13.56 , 1.56 
SOFA.JK,Solusi Environment Asia Tbk PT,Indonesia, 0.01 , 0.07 , 0.05 , 0.10 , 0.21 
EPAC.JK,Megalestari Epack Sentosaraya Tbk PT,Indonesia, 1.10 , 1.19 , 0.85 , 0.64 , 0.62 
TECH.JK,IndoSterling Technomedia Tbk PT,Indonesia,,,,,
CASH.JK,Cashlez Worldwide Indonesia Tbk PT,Indonesia, 0.09 , 0.05 , 0.03 , 0.01 , 0.02 
CBMF.JK,Cahaya Bintang Medan Tbk PT,Indonesia, 0.29 , 0.29 , 0.29 , 0.37 , 0.32 
BHAT.JK,Bhakti Multi Artha Tbk PT,Indonesia, 0.46 , 0.45 , 0.46 , 0.00 , 0.00 
CSMI.JK,Cipta Selera Murni Tbk PT,Indonesia, 1.94 , 1.20 , 1.12 , 1.75 , 1.54 
RONY.JK,PT Aracord Nusantara Group Tbk,Indonesia, -   , 0.37 , 0.37 , 0.06 , 0.05 
SBAT.JK,Sejahtera Bintang Abadi Textile Tbk PT,Indonesia, 1.98 , 1.33 , 2.02 , 2.62 , 1.48 
BBSS.JK,Bumi Benowo Sukses Sejahtera Tbk PT,Indonesia,,,,,
KBAG.JK,Karya Bersama Anugerah Tbk PT,Indonesia, 0.05 , 0.07 , 0.09 , 0.10 , 0.10 
SAMF.JK,Saraswanti Anugerah Makmur PT,Indonesia, 0.49 , 0.57 , 0.74 , 0.62 , 0.41 
CARE.JK,Metro Healthcare Indonesia Tbk PT,Indonesia, 0.31 , 0.31 , 0.10 , 0.06 , 0.04 
BESS.JK,Batulicin Nusantara Maritim Tbk PT,Indonesia, 0.05 , 0.16 , 0.34 , 0.45 , 0.85 
ESTA.JK,Esta Multi Usaha Tbk PT,Indonesia, 0.67 , 0.47 , 0.63 , 0.36 , 0.23 
ASPI.JK,Andalan Sakti Primaindo Tbk PT,Indonesia, 0.25 , 0.26 , 0.20 , 0.30 , 0.33 
AYLS.JK,Agro Yasa Lestari Tbk PT,Indonesia,,,, -   , 0.39 
DADA.JK,Diamond Citra Propertindo Tbk PT,Indonesia, 0.29 , 0.28 , 0.26 , 0.31 , 0.22 
IKAN.JK,Era Mandiri Cemerlang Tbk PT,Indonesia, 0.68 , 0.63 , 0.66 , 0.71 , 0.80 
PTPW.JK,Pratama Widya Tbk PT,Indonesia, 0.05 , 0.05 , 0.04 , 0.05 , 0.08 
TAMA.JK,Lancartama Sejati Tbk PT,Indonesia, 2.95 , 2.59 , 2.16 , 2.39 , 2.36 
PURA.JK,Putra Rajawali Kencana Tbk,Indonesia, 0.22 , 0.16 , 0.15 , 0.08 , 0.09 
DMND.JK,DIAMOND FOOD INDONESIA Tbk PT,Indonesia, 0.00 , 0.00 , 0.04 , 0.01 , 0.02 
TRIN.JK,Perintis Triniti Properti Tbk PT,Indonesia, 1.74 , 1.18 , 1.08 , 0.83 , 0.55 
INDO.JK,Royalindo Investa Wijaya Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
PGJO.JK,Bahtera Bumi Raya PT Tbk,Indonesia, -   , 0.01 , 0.01 , 0.01 ,
AMAR.JK,Bank Amar Indonesia Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.01 ,
CSRA.JK,Cisadane Sawit Raya Tbk PT,Indonesia, 0.53 , 0.46 , 0.67 , 0.98 , 1.11 
GLVA.JK,Galva Technologies Tbk PT,Indonesia, 1.01 , 1.00 , 1.16 , 0.83 , 0.92 
PMJS.JK,Putra Mandiri Jembar Tbk PT,Indonesia, 0.02 , 0.03 , 0.02 , 0.01 , 0.09 
IFII.JK,Indonesia Fibreboard Industry Tbk,Indonesia, 0.26 , 0.46 , 0.46 , 0.01 , 0.00 
REAL.JK,Repower Asia Indonesia Tbk PT,Indonesia, -   ,,,,
IFSH.JK,Ifishdeco Tbk PT,Indonesia, 0.11 , 0.19 , 0.18 , 0.15 , 0.19 
AGAR.JK,Asia Sejahtera Mina Tbk PT,Indonesia, 0.76 , 0.63 , 0.76 , 0.54 , 0.49 
PSGO.JK,Palma Serasih Tbk PT,Indonesia, 0.50 , 0.71 , 1.28 , 1.44 , 1.64 
KEJU.JK,Mulia Boga Raya Tbk PT,Indonesia,, -   , 0.00 , 0.02 , 0.10 
TEBE.JK,Dana Brata Luhur Tbk PT,Indonesia, -   , 0.00 , 0.13 , 0.11 , 0.19 
ESIP.JK,Sinergi Inti Plastindo Tbk PT,Indonesia, 0.03 , 0.01 , 0.02 , 0.52 , 0.44 
WOWS.JK,Ginting Jaya Energi Tbk PT,Indonesia, 0.17 , 0.20 , 0.20 , 0.20 , 0.22 
SINI.JK,Singaraja Putra Tbk PT,Indonesia,,, 0.24 , 0.79 , 1.81 
SLIS.JK,Gaya Abadi Sempurna Tbk PT,Indonesia, 0.17 , 0.29 , 0.67 , 0.70 , 0.87 
NZIA.JK,Nusantara Almazia Tbk PT,Indonesia, 0.13 , 0.17 , 0.13 , 0.16 , 0.21 
OPMS.JK,Optima Prima Metal Sinergi Tbk PT,Indonesia, -   , 0.00 ,, -   , 0.00 
GGRP.JK,Gunung Raja Paksi Tbk PT,Indonesia, 0.07 , 0.14 , 0.24 , 0.20 , 0.26 
TFAS.JK,Telefast Indonesia Tbk PT,Indonesia, 0.26 , 0.30 , 0.32 , 0.32 , 0.35 
BAPI.JK,Bhakti Agung Propertindo Tbk PT,Indonesia, 0.35 , 0.35 , 0.35 , 0.35 , 0.35 
KEEN.JK,Kencana Energi Lestari Tbk PT,Indonesia, 0.56 , 0.59 , 0.51 , 0.54 , 0.46 
INOV.JK,Inocycle Technology Group Tbk PT,Indonesia, 1.96 , 2.39 , 1.97 , 1.38 , 1.31 
LIFE.JK,MSIG Life Insurance Indonesia Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
HDIT.JK,Hensel Davest Indonesia Tbk PT,Indonesia, 0.08 , 0.08 , 0.04 , 0.29 , 0.13 
KOTA.JK,DMS Propertindo Tbk PT,Indonesia, 0.09 , 0.09 , 0.09 , 0.17 , 0.17 
EAST.JK,Eastparc Hotel Tbk PT,Indonesia, 0.01 , 0.01 , 0.02 , 0.01 , 0.03 
ENVY.JK,Envy Technologies Indonesia Tbk PT,Indonesia,,,,, -   
FUJI.JK,Fuji Finance Indonesia Tbk PT,Indonesia,,,,,
SMKL.JK,Satyamitra Kemas Lestari Tbk PT,Indonesia, 0.90 , 0.72 , 0.84 , 0.85 , 0.93 
IPTV.JK,MNC Vision Networks Tbk PT,Indonesia, 0.09 , 0.12 , 0.22 , 0.24 , 0.35 
BLUE.JK,Berkah Prima Perkasa Tbk PT,Indonesia, 0.03 , 0.06 ,, -   , 0.01 
PAMG.JK,Bima Sakti Pertiwi Tbk PT,Indonesia, 0.23 , 0.24 , 0.26 , 0.26 , 0.25 
KAYU.JK,Darmi Bersaudara Tbk PT,Indonesia, 0.10 , 0.10 , 0.10 , 0.18 , 0.19 
ITIC.JK,Indonesian Tobacco Tbk PT,Indonesia, 0.37 , 0.30 , 0.42 , 0.50 , 0.65 
KJEN.JK,Krida Jaringan Nusantara Tbk PT,Indonesia, 0.04 , 0.04 , 0.05 , 0.07 , 0.09 
POLU.JK,Golden Flower Tbk PT,Indonesia, 0.32 , 0.21 , 0.28 , 0.10 , 0.29 
SFAN.JK,Surya Fajar Capital Tbk PT,Indonesia, -   , 0.01 , 0.01 , 0.02 , 0.03 
CCSI.JK,Communication Cable Systems Indonesia Tbk PT,Indonesia, 0.35 , 0.47 , 0.43 , 0.16 , 0.17 
BOLA.JK,Bali Bintang Sejahtera Tbk PT,Indonesia, 0.03 , 0.03 , 0.02 , 0.01 , 0.03 
JAST.JK,Jasnita Telekomindo Tbk PT,Indonesia, 0.38 , 0.34 , 0.32 , 0.58 , 0.51 
POSA.JK,Bliss Properti Indonesia Tbk PT,Indonesia,,,,, 4.92 
HRME.JK,Menteng Heritage Realty Tbk PT,Indonesia, 0.42 , 0.37 , 0.34 , 0.33 , 0.29 
CPRI.JK,Capri Nusa Satu Properti Tbk PT,Indonesia, -   , 0.05 , 0.10 , 0.22 ,
MTPS.JK,Meta Epsi Tbk PT,Indonesia, 0.94 , 0.95 , 0.91 , 0.64 , 0.20 
COCO.JK,PT Wahana Interfood Nusantara Tbk,Indonesia, 2.97 , 2.24 , 1.03 , 0.59 , 0.96 
JAYA.JK,Armada Berjaya Trans Tbk PT,Indonesia, 0.46 , 0.19 , 0.07 , 0.08 , 0.20 
NATO.JK,Surya Permata Andalan Tbk PT,Indonesia, -   ,,,,
CLAY.JK,Citra Putra Realty Tbk PT,Indonesia, 25.28 , 62.72 ,, 10.85 , 3.78 
BEEF.JK,Estika Tata Tiara Tbk PT,Indonesia, 2.98 , 0.01 ,,, 70.81 
POLI.JK,Pollux Hotels Group Tbk PT,Indonesia, 0.69 , 0.45 , 0.23 , 0.27 , 0.31 
FOOD.JK,Sentra Food Indonesia Tbk PT,Indonesia,, 0.05 , 0.64 , 0.61 , 0.49 
PEHA.JK,Phapros Tbk PT,Indonesia, 1.90 , 1.19 , 1.09 , 1.18 , 1.25 
ZONE.JK,Mega Perintis Tbk PT,Indonesia, 0.69 , 0.51 , 0.52 , 0.55 , 0.57 
URBN.JK,Urban Jakarta Propertindo Tbk PT,Indonesia, 0.39 , 0.39 , 0.39 , 0.25 , 0.18 
SOTS.JK,Satria Mega Kencana Tbk PT,Indonesia, 0.30 , 0.31 , 0.30 , 0.31 , 0.32 
LUCK.JK,Sentral Mitra Informatika Tbk PT,Indonesia, 0.13 , 0.12 , 0.14 , 0.04 , 0.02 
DIVA.JK,Distribusi Voucher Nusantara Tbk PT,Indonesia, 0.13 , 0.10 , 0.07 , 0.06 , 0.24 
SATU.JK,Kota Satu Properti Tbk PT,Indonesia, 1.61 , 1.63 , 1.76 , 1.81 , 1.65 
CAKK.JK,Cahayaputra Asa Keramik Tbk PT,Indonesia, 1.32 , 1.05 , 0.48 , 0.37 , 0.26 
YELO.JK,Yelooo Integra Datanet Tbk PT,Indonesia,,,,,
MPRO.JK,Maha Properti Indonesia Tbk PT,Indonesia, 0.28 , 0.27 , 0.25 , 0.24 , 0.23 
DUCK.JK,Jaya Bersama Indo Tbk PT,Indonesia, 0.05 , 0.07 , 0.20 , 0.20 ,
HKMU.JK,HK Metals Utama Tbk PT,Indonesia, 11.68 , 1.27 , 0.71 , 1.23 , 1.17 
GOOD.JK,Garudafood Putra Putri Jaya Tbk PT,Indonesia, 0.50 , 0.49 , 0.69 , 0.74 , 0.80 
SURE.JK,Super Energy Tbk PT,Indonesia, 2.39 , 0.75 , 0.77 , 0.60 , 0.55 
SAPX.JK,Satria Antaran Prima Tbk PT,Indonesia, 0.69 , 0.41 , 0.09 , 0.15 , 0.16 
PANI.JK,Pantai Indah Kapuk Dua Tbk PT,Indonesia, 0.03 , 0.03 , 0.20 , 9.17 , 0.45 
ANDI.JK,Andira Agro Tbk PT,Indonesia, 0.94 , 0.89 , 0.70 , 0.74 , 0.76 
LAND.JK,Trimitra Propertindo Tbk PT,Indonesia, 0.24 , 0.22 , 0.19 , 0.20 , 0.22 
AALI.JK,Astra Agro Lestari Tbk PT,Indonesia, 0.14 , 0.18 , 0.18 , 0.27 , 0.29 
ABDA.JK,Asuransi Bina Dana Arta Tbk PT,Indonesia,,,,,
ABBA.JK,Mahaka Media Tbk PT,Indonesia,,, 3.55 , 0.62 ,
