Identifier,Company Name,Country of Exchange,"Debt to Equity Ratio (DER)
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020
,,,,,,,
GLOB.JK,Globe Kita Terang Tbk PT,Indonesia,,,,,
BJTM.JK,Bank Pembangunan Daerah Jawa Timur Tbk PT,Indonesia, 0.72 , 0.70 , 0.40 , 0.06 , 0.06 
GAMA.JK,Aksara Global Development Tbk PT,Indonesia, 0.12 , 0.12 , 0.20 , 0.20 , 0.24 
IBST.JK,Inti Bangun Sejahtera Tbk PT,Indonesia, 0.90 , 0.81 , 0.80 , 0.38 , 0.59 
NIRO.JK,City Retail Developments Tbk PT,Indonesia, 1.39 , 1.02 , 0.94 , 0.70 , 0.50 
SKBM.JK,Sekar Bumi Tbk PT,Indonesia, 0.56 , 0.52 , 0.57 , 0.64 , 0.52 
PALM.JK,Provident Investasi Bersama Tbk PT,Indonesia, 0.92 , 1.10 ,, -   , 0.01 
NELY.JK,Pelayaran Nelly Dwi Putri Tbk PT,Indonesia, 0.17 , 0.06 , 0.06 , 0.08 , 0.10 
TAXI.JK,Express Transindo Utama Tbk PT,Indonesia, -   ,,, -   ,
XIIT.JK,Premier ETF IDX30,Indonesia,,,,,
BSSR.JK,Baramulti Suksessarana Tbk PT,Indonesia, 0.01 , 0.02 , 0.04 , 0.06 , 0.05 
ASSA.JK,Adi Sarana Armada Tbk PT,Indonesia, 1.47 , 1.52 , 1.64 , 2.03 , 2.08 
WIIM.JK,Wismilak Inti Makmur Tbk PT,Indonesia, 0.22 , 0.02 , 0.01 , 0.01 , 0.02 
WSKT.JK,Waskita Karya (Persero) Tbk PT,Indonesia, 7.11 , 5.60 , 4.54 , 4.39 , 5.69 
SAME.JK,Sarana Meditama Metropolitan Tbk PT,Indonesia, 0.23 , 0.24 , 0.19 , 0.01 , 0.71 
BBRM.JK,Pelayaran Nasional Bina Buana Raya Tbk PT,Indonesia, 0.11 , 0.03 , 0.13 , 0.85 , 1.02 
HOTL.JK,Saraswati Griya Lestari Tbk PT,Indonesia, 0.03 , 0.05 , 2.44 , 2.22 , 0.03 
MAGP.JK,Multi Agro Gemilang Plantation Tbk PT,Indonesia, 4.14 , 3.57 , 1.56 , 1.16 , 0.33 
TPMA.JK,Trans Power Marine Tbk PT,Indonesia, 0.58 , 0.37 , 0.13 , 0.21 , 0.27 
ISSP.JK,Steel Pipe Industry of Indonesia Tbk PT,Indonesia, 0.49 , 0.58 , 0.63 , 0.64 , 0.69 
DYAN.JK,Dyandra Media International Tbk PT,Indonesia, 0.27 , 0.45 , 0.49 , 0.55 , 0.45 
XIIC.JK,Premier ETF Indonesia Consumer,Indonesia,,,,,
XIJI.JK,Premier ETF JII,Indonesia,,,,,
ANJT.JK,Austindo Nusantara Jaya Tbk PT,Indonesia, 0.37 , 0.36 , 0.32 , 0.40 , 0.50 
NOBU.JK,Bank Nationalnobu Tbk PT,Indonesia, 1.22 , 1.35 , 2.29 , 0.98 , 0.90 
MPMX.JK,Mitra Pinasthika Mustika Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.16 , 0.11 
APEX.JK,Apexindo Pratama Duta Tbk PT,Indonesia, 1.82 , 1.93 , 1.98 , 1.05 , 1.03 
DSNG.JK,Dharma Satya Nusantara Tbk PT,Indonesia, 0.58 , 0.63 , 0.67 , 0.76 , 1.03 
SRIL.JK,Sri Rejeki Isman Tbk PT,Indonesia,,,, 1.56 , 1.44 
ACST.JK,Acset Indonusa Tbk PT,Indonesia,, 0.11 , 0.03 , 0.05 , 3.18 
SRTG.JK,Saratoga Investama Sedaya Tbk PT,Indonesia, 0.06 , 0.02 , 0.03 , 0.07 , 0.10 
SMBR.JK,Semen Baturaja Tbk PT,Indonesia, 0.22 , 0.28 , 0.48 , 0.58 , 0.51 
NRCA.JK,Nusa Raya Cipta Tbk PT,Indonesia, 0.15 , 0.11 , 0.19 , 0.02 , 0.17 
ECII.JK,Electronic City Indonesia Tbk PT,Indonesia, 0.05 , 0.02 , 0.02 , 0.03 , 0.03 
MLPT.JK,Multipolar Technology Tbk PT,Indonesia, 0.51 , 0.51 , 0.13 , 0.07 , 0.19 
BBMD.JK,Bank Mestika Dharma Tbk PT,Indonesia, 0.19 , -   , 0.14 , 0.03 , -   
BMAS.JK,Bank Maspion Indonesia Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.01 ,
VICO.JK,Victoria Investama Tbk PT,Indonesia, 0.14 , 0.13 , 0.06 , 0.02 , 0.02 
XCID.JK,Dana Investasi Real Estat Ciptadana Properti Ritel Indonesia,Indonesia,,,,,
SILO.JK,Siloam International Hospitals Tbk PT,Indonesia, 0.31 , 0.08 , 0.07 , 0.08 , 0.10 
APII.JK,Arita Prima Indonesia Tbk PT,Indonesia, 0.35 , 0.31 , 0.33 , 0.35 , 0.37 
BIRD.JK,Blue Bird Tbk PT,Indonesia, 0.23 , 0.18 , 0.13 , 0.16 , 0.24 
GMFI.JK,Garuda Maintenance Facility AeroAsia Tbk PT,Indonesia,,,,,
CANI.JK,Capitol Nusantara Indonesia Tbk PT,Indonesia,,,,,
SSMS.JK,Sawit Sumbermas Sarana Tbk PT,Indonesia, 2.45 , 4.11 , 3.50 , 5.20 , 1.30 
WTON.JK,Wijaya Karya Beton Tbk PT,Indonesia, 0.13 , 0.11 , 0.40 , 0.42 , 0.82 
PNBS.JK,Bank Panin Dubai Syariah Tbk PT,Indonesia, 0.14 , 0.50 , 0.18 , 0.00 , 0.00 
LEAD.JK,Logindo Samudramakmur Tbk PT,Indonesia, 1.76 , 3.49 , 3.02 , 2.55 , 2.48 
IMJS.JK,Indomobil Multi Jasa Tbk PT,Indonesia, 5.05 , 4.87 , 4.78 , 5.12 , 5.15 
SIDO.JK,Industri Jamu dan Farmasi Sido Muncul Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
DNAR.JK,Bank Oke Indonesia Tbk PT,Indonesia, 0.15 , 0.16 , 0.14 , 0.00 , 0.00 
BINA.JK,Bank Ina Perdana Tbk PT,Indonesia, 0.02 , 0.08 , 0.29 , 0.02 , 0.04 
BLTZ.JK,Graha Layar Prima Tbk PT,Indonesia, 3.19 , 3.14 , 3.35 , 3.06 , 1.82 
MDIA.JK,Intermedia Capital Tbk PT,Indonesia, 2.91 , 0.91 , 0.61 , 0.38 , 0.63 
BALI.JK,Bali Towerindo Sentra Tbk PT,Indonesia, 1.18 , 1.04 , 0.99 , 0.98 , 0.94 
ASMI.JK,Asuransi Maximus Graha Persada Tbk PT,Indonesia, 0.01 , 0.01 , 0.02 , 0.02 , 0.01 
TALF.JK,Tunas Alfin Tbk PT,Indonesia, 0.27 , 0.24 , 0.30 , 0.27 , 0.23 
XISI.JK,Premier ETF SMINFRA18,Indonesia,,,,,
LRNA.JK,Eka Sari Lorena Transport Tbk PT,Indonesia, 0.03 , 0.04 , 0.09 , 0.06 , 0.08 
LINK.JK,Link Net Tbk PT,Indonesia, 1.31 , 1.59 , 1.08 , 0.64 , 0.38 
CINT.JK,Chitose Internasional Tbk PT,Indonesia, 0.12 , 0.19 , 0.25 , 0.13 , 0.11 
MIKA.JK,Mitra Keluarga Karyasehat Tbk PT,Indonesia, 0.00 , 0.00 ,,, -   
TARA.JK,Agung Semesta Sejahtera Tbk PT,Indonesia,,,,, -   
MBAP.JK,Mitrabara Adiperdana Tbk PT,Indonesia, 0.03 , 0.00 , -   , 0.02 , 0.09 
MGNA.JK,Magna Investama Mandiri Tbk PT,Indonesia, 2.19 , 1.60 , 1.50 , 1.43 ,
