Identifier,Company Name_x,Country of Exchange_x,"Debt to Equity Ratio (DER)
In the last 5 FY",Unnamed: 4_x,Unnamed: 5_x,Unnamed: 6_x,Unnamed: 7_x,Company Name_y,Country of Exchange_y,"ESG Score
In the last 5 FY",Unnamed: 4_y,Unnamed: 5_y,Unnamed: 6_y,Unnamed: 7_y,"Revenue - Total
(IDR)
In the last 5 FY",Unnamed: 9_x,Unnamed: 10_x,Unnamed: 11_x,Unnamed: 12_x,Company Name,Country of Exchange,"Price Close
(IDR)
In the last 5 FY",Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,"Shares - Outstanding - Total
In the last 5 FY",Unnamed: 9_y,Unnamed: 10_y,Unnamed: 11_y,Unnamed: 12_y,"Total Assets
(IDR)
In the last 5 FY",Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,"Total Liabilities
(IDR)
In the last 5 FY",Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,"ROA - %
In the last 5 FY",Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
BBRI.JK,Bank Rakyat Indonesia (Persero) Tbk PT,Indonesia,0.58,0.53,0.51,0.53,0.89,Bank Rakyat Indonesia (Persero) Tbk PT,Indonesia,87.71,81.41,81.57,73.12,72.64,"169,883,281,000,000.00","160,918,050,000,000.00","147,765,150,000,000.00","137,486,011,000,000.00","115,115,278,000,000.00",Bank Rakyat Indonesia (Persero) Tbk PT,Indonesia,"4,080.00","5,725.00","4,940.00","4,110.00","4,068.25","150,649,123,304.00","150,790,856,704.00","151,070,680,004.00","151,543,070,004.00","126,430,719,557.20","1,992,983,447,000,000.00","1,965,007,030,000,000.00","1,865,639,010,000,000.00","1,678,097,734,000,000.00","1,610,065,344,000,000.00","1,669,794,400,000,000.00","1,648,534,888,000,000.00","1,562,243,693,000,000.00","1,386,310,930,000,000.00","1,380,598,462,000,000.00",3.90%,4.00%,3.60%,2.30%,1.80%
BBRM.JK,Pelayaran Nasional Bina Buana Raya Tbk PT,Indonesia,0.11,0.03,0.13,0.85,1.02,Pelayaran Nasional Bina Buana Raya Tbk PT,Indonesia,,,,,,"216,098,579,260.00","162,348,819,225.00","145,232,719,060.00","107,614,161,750.00","159,331,774,680.00",Pelayaran Nasional Bina Buana Raya Tbk PT,Indonesia,79,65,72,67.77,67.77,"8,479,490,328.00","8,479,490,328.00","8,479,490,328.00","3,959,510,028.11","3,936,079,165.47","696,096,344,210.00","535,535,011,525.00","529,349,680,310.00","479,462,653,500.00","522,475,546,320.00","84,689,811,540.00","77,321,987,905.00","129,113,231,500.00","363,957,255,000.00","421,514,046,720.00",21.50%,12.10%,2.40%,2.10%,-19.20%
BBSI.JK,Krom Bank Indonesia Tbk PT,Indonesia,0,,,,,Krom Bank Indonesia Tbk PT,Indonesia,,,,,,"975,602,415,629.00","430,554,508,200.00","141,618,420,741.00","106,376,336,452.00","65,638,478,768.00",Krom Bank Indonesia Tbk PT,Indonesia,"4,200.00","3,660.00","3,160.00","4,101.83",769.91,"3,674,723,301.00","3,674,723,301.00","3,467,047,177.41","3,172,762,005.85","3,262,782,165.80","6,651,447,899,693.00","3,638,412,543,437.00","3,313,589,745,696.00","2,477,550,078,760.00","1,441,234,275,187.00","3,331,408,004,480.00","443,043,060,218.00","248,248,586,432.00","403,505,741,590.00","432,251,684,034.00",3.10%,5.00%,3.30%,4.30%,3.80%
BBSS.JK,Bumi Benowo Sukses Sejahtera Tbk PT,Indonesia,,,,,,Bumi Benowo Sukses Sejahtera Tbk PT,Indonesia,,,,,,"493,333,331.00","450,555,555.00","482,000,000.00","8,974,592,074.00","3,432,000,000.00",Bumi Benowo Sukses Sejahtera Tbk PT,Indonesia,148,79,65,50,102,"4,800,016,020.00","4,800,016,020.00","4,800,016,020.00","4,800,016,020.00","4,800,000,000.00","250,738,828,218.00","251,691,605,707.00","253,436,945,894.00","254,690,876,408.00","256,020,467,272.00","4,074,655,388.00","4,136,795,967.00","4,649,445,404.00","3,872,214,511.00","4,368,604,670.00",-0.30%,-0.50%,-0.70%,-0.40%,-0.20%
BBTN.JK,Bank Tabungan Negara (Persero) Tbk PT,Indonesia,1.5,1.68,1.65,2.02,2.49,Bank Tabungan Negara (Persero) Tbk PT,Indonesia,74.18,67.35,69.25,65.55,64.26,"13,577,080,000,000.00","15,076,499,000,000.00","15,517,446,000,000.00","14,585,553,000,000.00","10,455,325,000,000.00",Bank Tabungan Negara (Persero) Tbk PT,Indonesia,"1,140.00","1,250.00","1,350.00","1,668.05","1,663.23","14,034,444,413.00","14,034,444,413.00","10,983,312,417.68","10,983,312,417.68","10,983,312,417.68","469,614,502,000,000.00","438,749,736,000,000.00","402,148,312,000,000.00","371,868,311,000,000.00","361,208,406,000,000.00","437,042,613,000,000.00","408,270,584,000,000.00","376,238,958,000,000.00","350,461,664,000,000.00","341,220,561,000,000.00",0.80%,1.00%,1.00%,0.80%,0.70%
BBYB.JK,PT Bank Neo Commerce Tbk,Indonesia,0.08,0.11,0.17,0.02,0.01,PT Bank Neo Commerce Tbk,Indonesia,,,,,,"2,822,259,000,000.00","2,988,937,000,000.00","1,727,728,000,000.00","437,853,751,068.00","180,240,206,914.00",PT Bank Neo Commerce Tbk,Indonesia,218,436,645,"2,455.73",247.13,"13,350,482,346.00","12,038,815,679.00","10,090,262,638.42","10,090,262,638.42","8,032,891,542.60","17,409,065,000,000.00","18,169,541,000,000.00","19,694,280,000,000.00","11,337,808,684,383.00","5,421,324,398,438.00","13,847,228,000,000.00","14,846,502,000,000.00","15,949,690,000,000.00","8,447,980,414,962.00","4,300,705,118,122.00",0.10%,-3.00%,-5.10%,-11.80%,0.30%
BCAP.JK,MNC Kapital Indonesia Tbk PT,Indonesia,0.49,0.29,0.26,0.24,0.29,MNC Kapital Indonesia Tbk PT,Indonesia,,,,,,"3,266,002,000,000.00","2,937,046,000,000.00","2,823,504,000,000.00","2,711,389,000,000.00","2,649,045,000,000.00",MNC Kapital Indonesia Tbk PT,Indonesia,55,50,79,62,135,"42,618,850,927.00","42,618,850,927.00","42,618,850,927.00","42,120,259,327.00","39,262,260,327.00","29,455,830,000,000.00","25,863,812,000,000.00","24,306,227,000,000.00","21,653,968,000,000.00","19,101,546,000,000.00","22,283,273,000,000.00","18,860,818,000,000.00","18,105,414,000,000.00","15,646,157,000,000.00","14,007,712,000,000.00",0.60%,0.60%,1.20%,0.80%,0.50%
BCIC.JK,Bank JTrust Indonesia Tbk PT,Indonesia,0,0,0, -   ,0.18,Bank JTrust Indonesia Tbk PT,Indonesia,,,,,,"841,067,000,000.00","820,092,000,000.00","668,462,000,000.00","122,941,000,000.00","-5,413,000,000.00",Bank JTrust Indonesia Tbk PT,Indonesia,187,120,174,206,700,"18,109,922,009.00","18,109,922,009.00","18,109,922,009.00","13,082,200,548.55","9,261,567,102.97","40,258,696,000,000.00","39,234,312,000,000.00","33,617,390,000,000.00","21,317,575,000,000.00","16,204,908,000,000.00","36,464,540,000,000.00","35,474,581,000,000.00","29,891,015,000,000.00","18,657,788,000,000.00","14,761,678,000,000.00",0.30%,0.10%,0.20%,-2.90%,-3.50%
BCIP.JK,Bumi Citra Permai Tbk PT,Indonesia,0.04,0.05,0,0,0.2,Bumi Citra Permai Tbk PT,Indonesia,,,,,,"100,002,191,228.00","94,302,986,070.00","93,742,996,267.00","60,409,520,263.00","73,155,228,143.00",Bumi Citra Permai Tbk PT,Indonesia,59,60,68,92,75,"1,429,915,525.00","1,429,915,525.00","1,429,915,525.00","1,429,915,525.00","1,429,915,525.00","915,499,008,121.00","910,632,554,632.00","884,034,513,122.00","887,073,065,396.00","909,264,462,663.00","421,739,606,446.00","429,633,626,606.00","420,288,826,353.00","440,374,923,594.00","462,672,453,925.00",2.10%,2.40%,2.40%,0.40%,1.60%
BDKR.JK,Berdikari Pondasi Perkasa Tbk PT,Indonesia,0.44,0.42,0.39,0.46,0.41,Berdikari Pondasi Perkasa Tbk PT,Indonesia,,,,,,"484,490,134,051.00","613,461,702,309.00","477,120,794,735.00","413,333,722,423.00","454,552,715,320.00",Berdikari Pondasi Perkasa Tbk PT,Indonesia,190,520,,,,"4,725,101,522.00","4,717,374,178.00","4,707,100,000.00","4,707,100,000.00","4,707,100,000.00","1,352,341,856,789.00","1,548,251,539,042.00","1,279,953,349,405.00","833,136,626,897.00","848,172,951,559.00","571,909,117,200.00","763,824,367,820.00","718,000,635,590.00","329,855,863,924.00","373,867,182,326.00",2.30%,6.80%,8.50%,3.60%,9.30%
