Identifier,Company Name,Country of Exchange,"ESG Score
In the last 5 FY",,,,,"Revenue - Total
(IDR)
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,
VINS.JK,Victoria Insurance Tbk PT,Indonesia,,,,,,"62,031,309,775.00","58,842,031,323.00","41,993,407,912.00","44,867,615,460.00","37,164,863,803.00"
XISC.JK,Premier ETF Indonesia State-Owned Companies,Indonesia,,,,,,,,,,
MKNT.JK,Mitra Komunikasi Nusantara Tbk PT,Indonesia,,,,,,"2,044,320,576,210.00","2,016,805,522,469.00","3,452,545,403,628.00","4,294,709,675,286.00","4,748,403,735,514.00"
MARI.JK,Mahaka Radio Integra Tbk PT,Indonesia,,,,,,"97,684,863,543.00","86,235,643,107.00","68,505,823,794.00","69,662,826,371.00","72,881,606,727.00"
DPUM.JK,Dua Putra Utama Makmur Tbk PT,Indonesia,,,,,,"1,098,223,293,439.00","920,006,985,202.00","723,804,994,492.00","173,845,008,546.00","137,116,418,764.00"
IDPR.JK,Indonesia Pondasi Raya Tbk PT,Indonesia,,,,,,"1,115,261,513,273.00","1,289,582,924,477.00","1,060,124,902,677.00","872,574,156,089.00","652,350,844,406.00"
AMIN.JK,Ateliers Mecaniques D'Indonesie Tbk PT,Indonesia,,,,,,"366,852,043,305.00","336,797,741,017.00","217,836,301,363.00","182,184,441,799.00","129,512,982,726.00"
KINO.JK,Kino Indonesia Tbk PT,Indonesia,,,,,,"4,367,489,499,567.00","4,136,181,747,640.00","3,631,451,490,321.00","3,976,656,101,508.00","4,024,971,042,139.00"
ARTO.JK,Bank Jago Tbk PT,Indonesia,55.28,50.23,,,,"1,553,425,000,000.00","1,565,443,000,000.00","1,352,996,000,000.00","589,738,000,000.00","64,644,000,000.00"
MTRA.JK,Mitra Pemuda Tbk PT,Indonesia,,,,,,"16,540,856,438.00","132,196,198,859.00","343,283,077,876.00","292,290,640,713.00","258,272,501,858.00"
MPOW.JK,MegaPower Makmur Tbk PT,Indonesia,,,,,,"32,692,056,000.00","28,816,886,000.00","40,081,965,000.00","41,965,285,000.00","38,810,042,000.00"
WSBP.JK,Waskita Beton Precast Tbk PT,Indonesia,,,,,,"1,971,896,434,453.00","1,487,587,869,182.00","2,062,171,056,660.00","1,380,071,332,830.00","2,211,413,142,070.00"
BGTG.JK,Bank Ganesha Tbk PT,Indonesia,,,,,,"505,140,000,000.00","477,764,000,000.00","344,586,000,000.00","207,653,000,000.00","208,116,000,000.00"
POWR.JK,Cikarang Listrindo Tbk PT,Indonesia,53.34,54.62,60.79,,,"8,801,546,570,750.00","8,406,886,589,875.00","8,567,767,791,550.00","7,336,623,002,250.00","6,541,203,736,080.00"
SHIP.JK,Sillo Maritime Perdana Tbk PT,Indonesia,,,,,,"2,977,577,894,210.00","2,519,107,681,460.00","2,095,951,334,180.00","1,445,148,759,000.00","1,203,474,177,360.00"
JGLE.JK,Graha Andrasentra Propertindo Tbk PT,Indonesia,,,,,,"165,623,000,000.00","154,753,000,000.00","191,996,000,000.00","86,780,000,000.00","88,207,000,000.00"
DAYA.JK,Duta Intidaya Tbk PT,Indonesia,,,,,,"2,061,051,886,000.00","1,546,000,252,000.00","1,161,587,724,000.00","971,296,065,000.00","886,244,543,000.00"
OASA.JK,Maharaksa Biru Energi Tbk PT,Indonesia,,,,,,"66,775,890,210.00","44,151,348,251.00","40,808,504,420.00","3,410,781,850.00","1,211,712,320.00"
CASA.JK,Capital Financial Indonesia Tbk PT,Indonesia,,,,,,"6,790,242,000,000.00","7,596,468,000,000.00","10,222,310,000,000.00","14,629,266,000,000.00","11,361,380,000,000.00"
AGII.JK,Samator Indo Gas Tbk PT,Indonesia,,,,,,"2,907,675,000,000.00","2,822,745,000,000.00","2,612,464,000,000.00","2,738,813,000,000.00","2,188,179,000,000.00"
PRDA.JK,Prodia Widyahusada Tbk PT,Indonesia,,,,,,"2,252,194,000,000.00","2,222,466,000,000.00","2,181,642,000,000.00","2,652,257,000,000.00","1,873,375,000,000.00"
PBSA.JK,Paramita Bangun Sarana Tbk PT,Indonesia,,,,,,"1,154,289,864,419.00","572,763,446,107.00","731,846,535,897.00","279,155,322,925.00","552,602,370,724.00"
JKmad.JK,Bursa Efek Indonesia PT,Indonesia,,,,,,,,,,
FORZ.JK,Forza Land Indonesia Tbk PT,Indonesia,,,,,,"58,204,842,382.00","73,416,959,369.00","88,989,937,000.00","98,850,503,000.00","127,147,083,681.00"
BOGA.JK,Bintang Oto Global Tbk PT,Indonesia,,,,,,"678,904,039,180.00","901,839,472,087.00","733,735,486,344.00","556,343,297,730.00","478,025,803,002.00"
PORT.JK,Nusantara Pelabuhan Handal Tbk PT,Indonesia,,,,,,"1,270,706,165,000.00","1,143,947,622,000.00","1,256,221,358,000.00","1,321,828,564,000.00","1,292,828,966,000.00"
CARS.JK,Industri Dan Perdagangan Bintraco Dharma Tbk PT,Indonesia,,,,,,"6,185,184,764,154.00","6,485,021,029,869.00","5,500,697,815,577.00","5,295,162,452,179.00","4,153,280,934,671.00"
MINA.JK,Sanurhasta Mitra Tbk PT,Indonesia,,,,,,"8,354,047,884.00","11,674,547,348.00","9,306,489,051.00","4,009,201,299.00","3,748,441,328.00"
CLEO.JK,Sariguna Primatirta Tbk PT,Indonesia,,,,,,"2,696,813,747,786.00","2,090,115,884,030.00","1,674,053,536,287.00","1,103,519,743,574.00","972,634,784,176.00"
TGRA.JK,Terregra Asia Energy Tbk PT,Indonesia,,,,,,0.00,"976,765,194.00","13,755,869,523.00","38,690,158,854.00","12,427,172,430.00"
TAMU.JK,Pelayaran Tamarin Samudra Tbk PT,Indonesia,,,,,,"81,770,972,910.00","172,743,384,670.00","174,840,742,230.00","162,132,510,000.00","213,700,060,080.00"
CSIS.JK,Cahayasakti Investindo Sukses Tbk PT,Indonesia,,,,,,"83,395,780,765.00","55,985,137,786.00","80,804,762,931.00","83,521,161,705.00","85,537,603,294.00"
AVIA.JK,Avia Avian PT Tbk,Indonesia,65.18,62.37,,,,"7,471,356,000,000.00","7,016,882,000,000.00","6,694,171,000,000.00","6,779,643,348,943.00","5,731,260,683,244.00"
HRTA.JK,Hartadinata Abadi Tbk PT,Indonesia,,,,,,"18,228,628,989,765.00","12,857,028,724,562.00","6,918,453,560,506.00","5,237,905,426,180.00","4,138,626,813,254.00"
TOPS.JK,Totalindo Eka Persada Tbk PT,Indonesia,,,,,,"343,374,489,792.00","761,937,029,321.00","606,434,525,206.00","319,671,780,376.00","681,371,330,443.00"
FIRE.JK,Alfa Energi Investama Tbk PT,Indonesia,,,,,,"473,502,130,104.00","264,364,481,467.00","250,181,705,309.00","841,151,184,815.00","1,069,005,506,795.00"
NASA.JK,Andalan Perkasa Abadi Tbk PT,Indonesia,,,,,,"15,465,485,838.00","14,921,808,997.00","14,258,055,710.00","4,235,194,746.00","658,372,961.00"
MARK.JK,Mark Dynamics Indonesia Tbk PT,Indonesia,,,,,,"909,986,179,510.00","559,468,977,416.00","823,656,040,401.00","1,193,506,756,539.00","565,439,688,892.00"
KMTR.JK,Kirana Megatara Tbk PT,Indonesia,,,,,,"11,258,880,089,614.00","9,139,546,141,519.00","11,484,294,844,569.00","12,318,954,874,369.00","8,797,505,458,133.00"
WOOD.JK,Integra Indocabinet Tbk PT,Indonesia,,,,,,"2,791,657,523,872.00","2,186,033,911,377.00","4,526,699,532,441.00","5,416,331,556,250.00","2,929,365,354,072.00"
MAPB.JK,Map Boga Adiperkasa Tbk PT,Indonesia,,,,,,"3,228,133,000,000.00","3,999,453,000,000.00","3,437,108,000,000.00","2,431,383,000,000.00","2,044,306,000,000.00"
ARMY.JK,Armidian Karyatama Tbk PT,Indonesia,,,,,,"66,074,134,117.00","89,441,634,262.00","191,218,025,517.00","178,904,717,453.00",0.00
HOKI.JK,Buyung Poetra Sembada Tbk PT,Indonesia,,,,,,"1,298,675,060,004.00","1,284,510,497,729.00","925,708,985,640.00","933,597,187,584.00","1,173,189,488,886.00"
MABA.JK,Marga Abhinaya Abadi Tbk PT,Indonesia,,,,,,"45,448,687,912.00","120,002,776,253.00","213,149,157,812.00","54,621,344,975.00","52,867,928,258.00"
WEGE.JK,Wijaya Karya Bangunan Gedung Tbk PT,Indonesia,,,,,,"3,673,527,175,483.00","3,979,714,569,719.00","2,366,259,622,099.00","3,168,197,827,254.00","2,810,083,762,049.00"
IPCM.JK,Jasa Armada Indonesia Tbk PT,Indonesia,,,,,,"1,345,030,257,000.00","1,138,537,475,000.00","980,168,475,000.00","820,160,995,000.00","696,560,527,000.00"
MDKI.JK,Emdeki Utama Tbk PT,Indonesia,,,,,,"344,460,000,000.00","470,700,000,000.00","486,876,000,000.00","397,308,000,000.00","349,983,000,000.00"
KIOS.JK,Kioson Komersial Indonesia Tbk PT,Indonesia,,,,,,"121,584,729,328.00","271,291,628,739.00","363,872,667,991.00","339,032,343,268.00","912,535,369,280.00"
BELL.JK,Trisula Textile Industries Tbk PT,Indonesia,,,,,,"584,892,244,800.00","538,593,189,107.00","461,846,092,519.00","428,170,870,794.00","538,299,250,841.00"
MTWI.JK,Malacca Trust Wuwungan Insurance Tbk PT,Indonesia,,,,,,"414,685,239,929.00","235,236,141,464.00","143,308,965,590.00","114,219,476,438.00","125,664,006,162.00"
MCAS.JK,M Cash Integrasi Tbk PT,Indonesia,,,,,,"7,143,639,757,997.00","11,697,145,185,042.00","12,314,877,728,637.00","12,675,430,974,543.00","11,334,436,937,908.00"
PPRE.JK,PP Presisi Tbk PT,Indonesia,,,,,,"3,790,809,211,559.00","3,400,865,237,272.00","3,635,195,678,682.00","2,807,235,049,378.00","2,336,956,841,399.00"
ZINC.JK,Kapuas Prima Coal Tbk PT,Indonesia,,,,,,"235,793,407,692.00","471,343,571,076.00","717,341,578,270.00","838,765,098,953.00","608,099,038,727.00"
PBID.JK,Panca Budi Idaman Tbk PT,Indonesia,,,,,,"5,245,897,681,000.00","4,703,224,343,000.00","5,030,424,255,000.00","4,441,512,773,000.00","3,870,552,460,000.00"
HEAL.JK,Medikaloka Hermina Tbk PT,Indonesia,,,,,,"6,717,179,000,000.00","5,784,086,000,000.00","4,901,810,000,000.00","5,820,123,000,000.00","4,416,042,000,000.00"
CAMP.JK,Campina Ice Cream Industry Tbk PT,Indonesia,,,,,,"1,158,489,850,210.00","1,135,790,489,555.00","1,129,360,552,136.00","1,019,133,657,275.00","956,634,474,111.00"
PSSI.JK,IMC Pelita Logistik Tbk PT,Indonesia,,,,,,"1,306,589,753,290.00","1,576,315,710,765.00","1,856,601,044,760.00","1,549,454,455,500.00","959,704,424,640.00"
DWGL.JK,Dwi Guna Laksana Tbk PT,Indonesia,,,,,,"3,337,271,882,000.00","3,261,183,720,000.00","2,784,896,376,000.00","2,297,546,339,000.00","1,568,496,114,000.00"
MORA.JK,Mora Telematika Indonesia Tbk PT,Indonesia,,,,,,"3,978,188,856,174.00","4,306,324,172,668.00","4,647,651,287,354.00","4,180,073,066,155.00","3,765,688,134,794.00"
JMAS.JK,Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk PT,Indonesia,,,,,,"225,267,929,773.00","126,166,596,519.00","110,858,202,012.00","83,712,338,166.00","85,742,742,330.00"
PCAR.JK,Prima Cakrawala Abadi Tbk PT,Indonesia,,,,,,"246,983,652,207.00","273,941,926,884.00","228,289,602,674.00","161,842,458,341.00","46,602,172,890.00"
LCKM.JK,LCK Global Kedaton Tbk PT,Indonesia,,,,,,"19,040,922,324.00","14,685,856,864.00","29,316,490,133.00","45,700,880,268.00","42,370,902,184.00"
BOSS.JK,Borneo Olah Sarana Sukses Tbk PT,Indonesia,,,,,,"456,751,065,782.00","43,523,306,126.00","170,386,015,194.00","271,218,864,514.00","272,403,703,821.00"
JSKY.JK,Sky Energy Indonesia Tbk PT,Indonesia,,,,,,"82,280,822,168.00","148,294,461,080.00","200,258,580,528.00","382,769,688,315.00","424,705,152,035.00"
BTPS.JK,Bank BTPN Syariah Tbk PT,Indonesia,54.37,53.93,56.07,,,"4,905,996,000,000.00","5,264,738,000,000.00","5,043,638,000,000.00","4,284,211,000,000.00","3,550,122,000,000.00"
GOTO.JK,GoTo Gojek Tokopedia PT Tbk,Indonesia,52.93,35.89,,,,"15,894,462,000,000.00","14,785,492,000,000.00","11,349,167,000,000.00","4,535,764,000,000.00","3,327,875,000,000.00"
TDPM.JK,Tianrong Chemicals Industry PT Tbk,Indonesia,,,,,,"988,102,046,195.00","1,133,766,651,000.00","2,791,271,887,560.00","4,291,075,675,040.00","3,848,763,218,750.00"
INPS.JK,Indah Prakasa Sentosa Tbk PT,Indonesia,,,,,,"283,911,455,819.00","277,802,896,905.00","281,984,072,223.00","276,523,184,119.00","255,667,054,258.00"
HELI.JK,Jaya Trishindo Tbk PT,Indonesia,,,,,,"131,206,749,778.00","69,081,868,276.00","44,557,817,161.00","63,398,642,323.00","143,838,437,841.00"
PRIM.JK,Royal Prima Tbk PT,Indonesia,,,,,,"299,357,331,241.00","265,336,921,768.00","261,933,013,826.00","599,963,836,758.00","260,590,702,914.00"
GHON.JK,Gihon Telekomunikasi Indonesia Tbk PT,Indonesia,,,,,,"211,679,065,000.00","203,637,725,000.00","186,301,175,000.00","164,920,511,000.00","143,056,438,000.00"
SPTO.JK,Surya Pertiwi Tbk PT,Indonesia,,,,,,"2,915,244,767,837.00","2,605,488,939,158.00","2,505,644,878,372.00","2,238,536,055,114.00","1,910,989,899,637.00"
DFAM.JK,Dafam Property Indonesia Tbk PT,Indonesia,,,,,,"63,263,896,975.00","69,338,788,369.00","70,533,393,491.00","84,637,100,693.00","89,080,488,373.00"
NICK.JK,Charnic Capital Tbk PT,Indonesia,,,,,,"23,885,767,910.00","6,426,355,798.00","48,039,715,970.00","10,192,894,024.00","625,607,668.00"
MOLI.JK,Madusari Murni Indah Tbk PT,Indonesia,,,,,,"1,370,052,641,000.00","1,448,228,617,000.00","1,515,319,792,000.00","1,612,054,076,000.00","1,472,641,715,000.00"
PZZA.JK,Sarimelati Kencana Tbk PT,Indonesia,,,,,,"2,798,983,342,354.00","3,543,982,915,761.00","3,612,319,039,640.00","3,418,811,243,788.00","3,458,405,977,840.00"
TRUK.JK,Guna Timur Raya Tbk PT,Indonesia,,,,,,"50,871,938,032.00","43,374,041,037.00",,"39,606,222,648.00","42,839,805,962.00"
MSIN.JK,MNC Digital Entertainment Tbk PT,Indonesia,,,,,,"3,470,199,000,000.00","2,952,629,000,000.00","3,517,808,000,000.00","3,082,075,000,000.00","1,389,166,000,000.00"
TUGU.JK,Asuransi Tugu Pratama Indonesia Tbk PT,Indonesia,,,,,,"4,726,815,913,000.00","4,061,852,309,000.00","3,596,026,512,000.00","3,360,465,405,000.00","2,935,713,746,000.00"
TNCA.JK,Trimuda Nuansa Citra Tbk PT,Indonesia,,,,,,"72,944,336,594.00","67,912,989,559.00","73,083,784,552.00","76,363,244,394.00","68,821,011,923.00"
KPAL.JK,Steadfast Marine Tbk PT,Indonesia,,,,,,"141,162,266,409.00","152,025,228,123.00","485,567,639,213.00","273,522,482,886.00","408,102,640,794.00"
SWAT.JK,Sriwahana Adityakarta Tbk PT,Indonesia,,,,,,"245,267,967,628.00","315,679,393,887.00","283,466,831,736.00","195,244,739,325.00","265,850,394,862.00"
BPTR.JK,Batavia Prosperindo Trans Tbk PT,Indonesia,,,,,,"541,955,832,866.00","441,461,405,484.00","333,909,938,076.00","212,042,439,331.00","162,257,365,449.00"
NFCX.JK,NFC Indonesia Tbk PT,Indonesia,,,,,,"6,074,313,841,805.00","9,526,101,865,748.00","9,836,622,374,855.00","8,885,891,410,028.00","7,597,266,302,278.00"
MAPA.JK,MAP Aktif Adiperkasa Tbk PT,Indonesia,,,,,,"17,184,426,000,000.00","13,558,595,000,000.00","9,801,240,000,000.00","6,042,002,000,000.00","4,781,480,000,000.00"
IPCC.JK,Indonesia Kendaraan Terminal Tbk PT,Indonesia,,,,,,"824,595,836,000.00","735,204,940,000.00","726,573,259,000.00","516,836,950,000.00","356,532,157,000.00"
MGRO.JK,Mahkota Group Tbk PT,Indonesia,,,,,,"4,685,748,870,926.00","5,425,478,049,944.00","7,505,700,941,167.00","7,313,139,597,522.00","4,106,566,376,814.00"
TCPI.JK,Transcoal Pacific Tbk PT,Indonesia,,,,,,"1,926,145,000,000.00","1,797,189,000,000.00","1,730,732,000,000.00","1,645,948,000,000.00","1,648,031,000,000.00"
POLL.JK,Pollux Properties Indonesia Tbk PT,Indonesia,,,,,,"830,544,188,125.00","304,471,972,747.00","339,337,344,812.00","405,660,306,162.00","501,177,068,128.00"
RISE.JK,Jaya Sukses Makmur Sentosa Tbk PT,Indonesia,,,,,,"365,587,667,602.00","279,072,020,902.00","319,782,354,630.00","249,103,324,854.00","155,372,926,625.00"
NUSA.JK,Sinergi Megah Internusa Tbk PT,Indonesia,,,,,,"13,819,525,860.00","8,387,859,041.00","2,299,071,395.00",0.00,
NETV.JK,MDTV Media Technologies Tbk PT,Indonesia,,,,,,"209,729,710,295.00","235,745,414,500.00","438,679,000,808.00","490,196,859,796.00","446,490,355,139.00"
FILM.JK,MD Entertainment PT Tbk,Indonesia,,,,,,"455,949,731,677.00","369,545,097,756.00","436,858,263,010.00","255,041,469,597.00","122,365,818,348.00"
DIGI.JK,Arkadia Digital Media Tbk PT,Indonesia,,,,,,"60,110,185,126.00","57,893,788,442.00","41,539,134,578.00","45,054,805,149.00","35,104,535,899.00"
SKRN.JK,Superkrane Mitra Utama Tbk PT,Indonesia,,,,,,"1,173,982,459,136.00","893,452,285,307.00","648,399,834,168.00","419,487,164,471.00","507,783,841,202.00"
CITY.JK,Natura City Developments Tbk PT,Indonesia,,,,,,"116,606,725,325.00","89,267,448,894.00","43,331,326,124.00","84,175,290,555.00","140,848,139,785.00"
POLA.JK,Pool Advista Finance Tbk PT,Indonesia,,,,,,"14,700,918,532.00","15,564,179,621.00","14,603,624,615.00","12,416,558,911.00","22,245,475,178.00"
SOSS.JK,Shield On Service Tbk PT,Indonesia,,,,,,"1,870,248,720,441.00","1,780,352,921,109.00","1,529,120,178,492.00","1,389,331,929,729.00","1,368,035,589,028.00"
DEAL.JK,Dewata Freightinternational Tbk PT,Indonesia,,,,,,"90,825,390,976.00","86,034,518,419.00","71,141,862,149.00","144,400,863,183.00","236,184,959,298.00"
ARKA.JK,Arkha Jayanti Persada Tbk PT,Indonesia,,,,,,"119,046,924,411.00","183,089,195,342.00","213,082,547,296.00","72,426,729,694.00","82,949,660,203.00"
FITT.JK,Hotel Fitra International Tbk PT,Indonesia,,,,,,"13,341,819,400.00","11,833,525,237.00","10,495,281,006.00","8,759,873,774.00","5,397,369,104.00"
PURE.JK,Trinitan Metals and Minerals Tbk PT,Indonesia,,,,,,"20,266,488,503.00","9,639,313,399.00","15,704,607,192.00","136,314,862,186.00","452,121,667,986.00"
IRRA.JK,Itama Ranoraya PT,Indonesia,,,,,,"977,488,301,788.00","696,303,792,495.00","753,571,541,696.00","1,319,727,926,930.00","563,887,706,317.00"
DMMX.JK,Digital Mediatama Maxima Tbk PT,Indonesia,,,,,,"1,176,069,825,587.00","1,945,055,730,713.00","1,938,153,436,211.00","1,150,441,212,932.00","517,197,997,739.00"
UCID.JK,Uni-charm Indonesia PT,Indonesia,,,,,,"9,675,468,000,000.00","10,245,160,000,000.00","10,317,193,000,000.00","9,116,592,000,000.00","8,433,933,000,000.00"
AMOR.JK,Ashmore Asset Management Indonesia PT,Indonesia,,,,,,"211,554,000,000.00","211,444,000,000.00","244,337,000,000.00","207,389,926,974.00","182,707,239,383.00"
ENZO.JK,Morenzo Abadi Perkasa Tbk PT,Indonesia,,,,,,"532,254,870,609.00","511,298,789,911.00","500,912,131,206.00","1,129,864,264,910.00","516,388,569,802.00"
AMAN.JK,Makmur Berkah Amanda Tbk PT,Indonesia,,,,,,"204,508,061,000.00","178,268,259,000.00","137,940,281,000.00","100,601,055,000.00","89,548,973,000.00"
ENAK.JK,Champ Resto Indonesia Tbk PT,Indonesia,,,,,,"1,540,577,530,520.00","1,425,953,229,663.00","1,265,243,615,372.00","789,362,442,133.00","560,182,656,148.00"
TAPG.JK,Triputra Agro Persada Tbk PT,Indonesia,,,,,,"9,671,463,000,000.00","8,325,887,000,000.00","9,345,641,000,000.00","6,278,123,000,000.00","5,265,785,000,000.00"
BUKA.JK,Bukalapak.com Tbk PT,Indonesia,,,,,,"4,460,266,085,000.00","4,438,268,980,000.00","3,618,366,163,000.00","1,869,122,325,000.00","1,351,664,460,000.00"
CMNT.JK,Cemindo Gemilang Tbk PT,Indonesia,,,,,,"8,857,280,000,000.00","9,612,847,000,000.00","9,687,149,000,000.00","8,278,058,000,000.00","7,158,870,000,000.00"
SBMA.JK,Surya Biru Murni Acetylene Tbk PT,Indonesia,,,,,,"131,677,483,280.00","113,369,718,012.00","103,643,140,314.00","88,261,234,963.00","74,268,101,957.00"
WMPP.JK,PT Widodo Makmur Perkasa Tbk,Indonesia,,,,,,"572,921,229,505.00","907,226,175,158.00","4,390,077,670,408.00","6,234,855,968,339.00","3,031,488,092,499.00"
NTBK.JK,Nusatama Berkah Tbk PT,Indonesia,,,,,,"105,480,957,484.00","137,645,362,565.00","101,879,539,632.00","52,798,355,960.00","43,288,186,229.00"
SMKM.JK,Sumber Mas Konstruksi Tbk PT,Indonesia,,,,,,"85,299,498,625.00","130,026,556,493.00","143,045,583,951.00","126,611,879,577.00","60,058,689,097.00"
WINR.JK,Winner Nusantara Jaya Tbk PT,Indonesia,,,,,,"31,500,116,825.00","35,649,396,624.00","35,250,188,377.00","37,274,617,311.00","26,784,674,177.00"
OLIV.JK,Oscar Mitra Sukses Sejahtera Tbk PT,Indonesia,,,,,,"10,892,479,191.00","20,274,939,061.00","57,596,429,827.00","50,357,169,856.00","31,546,677,278.00"
ASHA.JK,Cilacap Samudera Fishing Industry Tbk PT,Indonesia,,,,,,"263,480,469,443.00","404,353,571,310.00","449,623,068,624.00","200,886,537,120.00","179,336,379,144.00"
HILL.JK,PT Hillcon Tbk,Indonesia,,,,,,"3,946,077,000,000.00","4,045,748,000,000.00","3,265,509,000,000.00","1,983,781,000,000.00","1,021,162,000,000.00"
RCCC.JK,Utama Radar Cahaya Tbk PT,Indonesia,,,,,,"93,776,687,510.00","75,756,461,938.00","60,891,278,469.00","35,359,963,037.00","30,015,514,110.00"
GULA.JK,Aman Agrindo Tbk PT,Indonesia,,,,,,"299,441,484,564.00","360,878,992,832.00","180,869,381,989.00","188,843,069,165.00","132,022,756,805.00"
AMMS.JK,Agung Menjangan Mas Tbk PT,Indonesia,,,,,,"10,309,548,266.00","9,981,424,190.00","5,662,734,100.00","2,255,906,000.00",
BELI.JK,Global Digital Niaga Tbk PT,Indonesia,,,,,,"16,715,576,000,000.00","14,717,896,000,000.00","15,269,078,000,000.00","8,857,845,000,000.00","4,298,850,000,000.00"
KING.JK,Hoffmen Cleanindo PT Tbk,Indonesia,,,,,,"215,116,835,834.00","213,107,450,464.00","161,856,738,362.00","168,997,882,221.00","141,496,852,802.00"
PGEO.JK,Pertamina Geothermal Energy PT Tbk,Indonesia,49.39,50.08,,,,"6,550,560,800,000.00","6,254,803,760,000.00","6,009,148,420,000.00","5,255,742,000,000.00","4,969,612,440,000.00"
ZATA.JK,Bersama Zatta Jaya Tbk PT,Indonesia,,,,,,"204,229,473,655.00","205,003,727,671.00","194,958,239,203.00","176,252,035,914.00","91,145,293,308.00"
KETR.JK,Ketrosden Triasmitra PT,Indonesia,,,,,,"556,385,363,865.00","390,516,818,350.00","353,133,853,101.00","448,905,913,317.00","297,265,270,291.00"
PDPP.JK,PT Primadaya Plastisindo Tbk,Indonesia,,,,,,"420,551,076,256.00","439,902,625,251.00","339,197,903,920.00","318,999,156,922.00","241,182,345,610.00"
OMED.JK,Jayamas Medica Industri TBK PT,Indonesia,,,,,,"1,885,822,041,124.00","1,736,989,809,989.00","1,739,054,461,606.00","2,226,573,432,351.00","1,994,539,557,191.00"
MKTR.JK,PT Menthobi Karyatama Raya Tbk,Indonesia,,,,,,"1,006,858,372,000.00","710,983,008,000.00","627,880,911,000.00","512,355,743,000.00","227,698,441,000.00"
CBUT.JK,Citra Borneo Utama Tbk PT,Indonesia,,,,,,"9,766,108,000,000.00","10,319,437,000,000.00","9,619,267,000,000.00","8,662,321,000,000.00","4,354,531,000,000.00"
KDTN.JK,Puri Sentul Permai Tbk PT,Indonesia,,,,,,"31,875,098,345.00","31,151,611,044.00","25,199,386,179.00","20,436,457,449.00","17,511,205,960.00"
BSBK.JK,PT Wulandari Bangun Laksana Tbk,Indonesia,,,,,,"361,493,173,122.00","347,099,264,125.00","264,970,806,841.00","238,092,211,211.00","150,500,079,952.00"
PRAY.JK,Famon Awal Bros Sedaya Tbk PT,Indonesia,,,,,,"2,103,055,000,000.00","1,839,233,000,000.00","1,522,624,000,000.00","1,826,014,000,000.00","1,337,747,000,000.00"
COAL.JK,Black Diamond Resources Tbk PT,Indonesia,,,,,,"486,157,840,521.00","679,086,842,095.00","692,738,180,652.00","171,699,749,892.00","1,410,000,000.00"
MEDS.JK,Hetzer Medical Indonesia Tbk PT,Indonesia,,,,,,"6,391,014,240.00","22,723,317,500.00","37,737,427,825.00","75,789,667,308.00","87,789,923,185.00"
CRAB.JK,Toba Surimi Industries Tbk Pt,Indonesia,,,,,,"589,819,644,023.00","598,116,062,466.00","571,159,213,866.00","658,766,931,935.00","477,729,999,127.00"
TOOL.JK,Rohartindo Nusantara Luas Tbk Pt,Indonesia,,,,,,"93,531,080,067.00","148,489,514,064.00","102,309,414,904.00","111,445,887,590.00","106,884,810,517.00"
KLIN.JK,Klinko Karya Imaji PT Tbk,Indonesia,,,,,,"19,113,702,394.00","16,960,809,889.00","7,514,581,488.00","3,948,020,351.00","2,701,284,737.00"
BUAH.JK,Segar Kumala Indonesia Tbk PT,Indonesia,,,,,,"2,215,577,107,943.00","1,783,282,051,017.00","1,386,125,210,434.00","1,021,412,025,918.00","769,214,964,142.00"
KKES.JK,Kusuma Kemindo Sentosa PT,Indonesia,,,,,,"221,978,524,057.00","224,359,271,969.00","230,719,095,046.00","226,399,755,093.00","205,045,830,161.00"
ELPI.JK,Pelayaran Nasional Ekalya Purnamasari Tbk PT,Indonesia,,,,,,"1,205,219,000,000.00","1,078,642,000,000.00","632,831,000,000.00","540,588,000,000.00","481,300,000,000.00"
EURO.JK,Estee Gold Feet PT Tbk,Indonesia,,,,,,"27,533,752,000.00","23,780,277,000.00","30,319,967,000.00","24,878,124,000.00","18,793,995,000.00"
RAFI.JK,Sari Kreasi Boga PT Tbk,Indonesia,,,,,,"407,488,545,288.00","375,886,948,579.00","117,113,203,239.00","40,564,764,362.00","38,576,006,361.00"
JARR.JK,Jhonlin Agro Raya PT Tbk,Indonesia,,,,,,"3,864,889,048,543.00","4,442,279,649,263.00","4,642,340,995,500.00","619,857,338,953.00","21,041,414,330.00"
HATM.JK,Habco Trans Maritima Tbk PT,Indonesia,,,,,,"748,198,618,716.00","575,675,705,805.00","371,326,582,170.00","252,933,150,474.00",0.00
KRYA.JK,Bangun Karya Perkasa Jaya PT Tbk,Indonesia,,,,,,"216,248,735,873.00","141,769,263,046.00","198,114,461,203.00","102,570,179,117.00","83,023,185,499.00"
AXIO.JK,Tera Data Indonusa Tbk PT,Indonesia,,,,,,"1,454,146,317,319.00","329,218,080,439.00","167,058,012,717.00",,
DEWI.JK,PT Dewi SHRI Farmindo Tbk,Indonesia,,,,,,"78,217,648,021.00","105,021,824,687.00","137,336,680,282.00","82,133,260,271.00","22,895,991,515.00"
TRGU.JK,Cerestar Indonesia Tbk PT,Indonesia,,,,,,"5,178,832,985,240.00","5,874,659,885,532.00","3,612,965,915,354.00","3,420,557,279,845.00","741,404,144,764.00"
