Identifier,Company Name,Country of Exchange,"ESG Score
In the last 5 FY",,,,,"Revenue - Total
(IDR)
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,
STAR.JK,Buana Artha Anugerah Tbk PT,Indonesia,,,,,,"4,060,531,960.00","4,738,184,022.00","4,527,998,678.00","3,896,547,467.00","2,940,955,179.00"
SMRU.JK,SMR Utama Tbk PT,Indonesia,,,,,,"80,114,927,685.00","321,538,806,499.00","497,238,211,771.00","541,885,165,917.00","492,381,856,241.00"
SUPR.JK,Solusi Tunas Pratama Tbk PT,Indonesia,,,,,,"1,817,387,000,000.00","1,892,085,000,000.00","1,888,257,000,000.00","2,075,965,000,000.00","1,922,151,000,000.00"
ARII.JK,Atlas Resources Tbk PT,Indonesia,,,,,,"5,070,779,590,000.00","4,319,975,555,000.00","3,828,694,265,000.00","1,643,652,000,000.00","591,926,400,000.00"
GEMS.JK,Golden Energy Mines Tbk PT,Indonesia,,,,,,"43,531,831,023,560.00","44,673,769,776,920.00","45,449,245,932,695.00","22,599,838,671,750.00","14,902,194,673,080.00"
VIVA.JK,Visi Media Asia Tbk PT,Indonesia,,,,,,"1,215,340,814,000.00","1,196,672,161,000.00","1,698,619,532,000.00","1,812,198,622,000.00","1,830,516,513,000.00"
ABMM.JK,ABM Investama Tbk PT,Indonesia,77.03,50.06,49.42,,,"19,310,131,184,860.00","22,984,717,388,120.00","22,499,633,529,615.00","14,561,583,004,500.00","8,513,959,559,040.00"
CASS.JK,Cahaya Aero Services Tbk PT,Indonesia,,,,,,"2,738,487,000,000.00","2,199,217,000,000.00","1,725,491,000,000.00","1,407,396,000,000.00","1,222,921,000,000.00"
ERAA.JK,PT Erajaya Swasembada Tbk,Indonesia,,,,,,"65,279,684,667,000.00","60,139,405,675,000.00","49,471,483,883,000.00","43,466,976,696,000.00","34,113,454,845,000.00"
BAJA.JK,Saranacentral Bajatama Tbk PT,Indonesia,,,,,,"788,262,006,240.00","950,454,205,479.00","1,061,799,427,322.00","1,374,486,754,604.00","1,204,954,780,957.00"
GWSA.JK,Greenwood Sejahtera Tbk PT,Indonesia,,,,,,"67,801,227,151.00","71,802,799,697.00","57,039,668,930.00","47,833,682,344.00","32,332,146,290.00"
TELE.JK,Omni Inovasi Indonesia Tbk PT,Indonesia,,,,,,"3,028,878,000,000.00","2,769,525,000,000.00","1,768,907,000,000.00","4,206,839,000,000.00","28,442,132,000,000.00"
PADI.JK,Minna Padi Investama Sekuritas Tbk PT,Indonesia,,,,,,"1,589,022,869.00","10,416,698,383.00","-10,234,405,371.00","-40,817,337,259.00","-61,000,620,281.00"
ESSA.JK,ESSA Industries Indonesia Tbk PT,Indonesia,,,,,,"4,849,555,557,330.00","5,310,684,216,875.00","11,385,653,274,710.00","4,323,980,527,500.00","2,464,222,934,160.00"
BEST.JK,Bekasi Fajar Industrial Estate Tbk PT,Indonesia,,,,,,"457,589,770,772.00","544,314,875,513.00","542,834,010,731.00","229,835,755,986.00","242,320,700,845.00"
RANC.JK,Supra Boga Lestari Tbk PT,Indonesia,,,,,,"2,874,068,978,000.00","2,804,214,846,000.00","2,898,831,241,312.00","2,887,533,821,686.00","3,011,422,750,334.00"
TRIS.JK,Trisula International Tbk PT,Indonesia,,,,,,"1,518,058,140,222.00","1,472,856,196,208.00","1,498,011,822,265.00","1,098,352,842,355.00","1,141,269,765,789.00"
KOBX.JK,Kobexindo Tractors Tbk PT,Indonesia,,,,,,"2,101,582,212,772.00","1,962,284,352,932.00","2,506,023,138,911.00","1,705,016,988,921.57","739,520,487,031.60"
MSKY.JK,MNC Sky Vision Tbk PT,Indonesia,,,,,,"703,780,000,000.00","741,049,000,000.00","1,114,894,000,000.00","1,460,559,000,000.00","2,015,371,000,000.00"
TOBA.JK,TBS Energi Utama Tbk PT,Indonesia,,,,,,"7,170,481,388,350.00","7,716,940,051,645.00","9,896,078,198,600.00","6,592,994,960,250.00","4,660,330,952,160.00"
ALTO.JK,Tri Banyan Tirta Tbk PT,Indonesia,,,,,,"286,654,013,487.00","409,161,010,323.00","366,966,569,109.00","321,502,485,934.00","343,971,642,312.00"
GLOB.JK,Globe Kita Terang Tbk PT,Indonesia,,,,,,"185,653,036,629.00","113,701,011,341.00","65,247,491,246.00","46,270,783,199.00","30,671,505,593.00"
BJTM.JK,Bank Pembangunan Daerah Jawa Timur Tbk PT,Indonesia,55.74,63.05,57.71,,,"6,024,587,000,000.00","5,296,767,000,000.00","5,157,909,000,000.00","4,889,871,000,000.00","4,267,733,000,000.00"
GAMA.JK,Aksara Global Development Tbk PT,Indonesia,,,,,,"24,919,411,410.00","40,264,350,922.00","74,159,226,110.00","77,542,232,036.00","66,581,958,479.00"
IBST.JK,Inti Bangun Sejahtera Tbk PT,Indonesia,,,,,,"862,466,000,000.00","1,109,755,968,980.00","1,088,236,706,064.00","975,211,333,352.00","1,122,276,247,134.00"
NIRO.JK,City Retail Developments Tbk PT,Indonesia,,,,,,"1,305,018,905,651.00","1,145,464,858,602.00","908,453,615,821.00","732,650,579,963.00","529,195,143,400.00"
SKBM.JK,Sekar Bumi Tbk PT,Indonesia,,,,,,"2,269,370,863,582.00","2,839,561,359,367.00","3,802,296,289,773.00","3,847,887,478,570.00","3,165,530,224,724.00"
PALM.JK,Provident Investasi Bersama Tbk PT,Indonesia,,,,,,"-1,636,053,538,000.00","-3,138,693,110,000.00","288,130,499,000.00","316,685,911,000.00","238,689,151,000.00"
NELY.JK,Pelayaran Nelly Dwi Putri Tbk PT,Indonesia,,,,,,"490,338,038,801.00","522,351,078,947.00","309,603,262,557.00","199,312,722,588.00","230,662,117,776.00"
TAXI.JK,Express Transindo Utama Tbk PT,Indonesia,,,,,,"3,899,000,000.00","4,850,703,000.00","2,948,504,000.00","7,263,061,000.00","21,541,634,000.00"
XIIT.JK,Premier ETF IDX30,Indonesia,,,,,,,,,,
BSSR.JK,Baramulti Suksessarana Tbk PT,Indonesia,,,,,,"15,249,610,611,400.00","17,463,112,049,370.00","16,016,631,923,160.00","9,852,059,336,250.00","4,653,754,068,600.00"
ASSA.JK,Adi Sarana Armada Tbk PT,Indonesia,25.24,33.01,33.00,36.31,,"4,955,891,520,910.00","4,438,522,306,494.00","5,870,093,882,006.00","5,088,094,179,374.00","3,037,359,367,967.00"
WIIM.JK,Wismilak Inti Makmur Tbk PT,Indonesia,,,,,,"4,750,889,829,726.00","4,874,784,628,824.00","3,704,350,294,106.00","2,733,691,702,981.00","1,994,066,771,177.00"
WSKT.JK,Waskita Karya (Persero) Tbk PT,Indonesia,37.43,45.50,43.19,49.11,40.69,"10,705,154,901,932.00","10,954,693,035,464.00","15,302,872,338,467.00","12,224,128,315,553.00","16,190,456,515,103.00"
SAME.JK,Sarana Meditama Metropolitan Tbk PT,Indonesia,,,,,,"1,706,381,445,188.00","1,531,660,499,515.00","1,393,542,157,498.00","1,271,584,061,675.00","816,816,326,717.00"
